batter,total_runs,avg_runs,innings,balls,fours,sixes,avg_sr
V Kohli,35929,41.25,871,41727,3466,591,87.86
RG Sharma,26339,33.38,789,28037,2501,925,91.99
DA Warner,25936,38.2,679,27255,2820,571,95.41
AB de Villiers,24535,38.46,638,29278,2326,576,94.9
KC Sangakkara,23349,41.11,568,33067,2429,166,73.8
MS Dhoni,22018,29.71,741,25541,1799,599,97.68
JE Root,21580,43.86,492,32619,2133,110,65.11
KS Williamson,21069,40.91,515,30577,2119,210,76.04
SPD Smith,20916,38.38,545,29958,2074,257,82.73
HM Amla,18829,42.41,444,28736,2151,110,67.42
LRPL Taylor,18669,34.07,548,25384,1793,305,77.4
DPMD Jayawardene,18116,33.61,539,25984,1859,166,72.36
CH Gayle,17905,33.47,535,18758,1791,870,93.23
S Dhawan,17469,34.39,508,17811,2096,290,93.01
BB McCullum,16895,30.06,562,18882,1768,533,93.04
JC Buttler,16801,31.76,529,16005,1578,594,103.31
TM Dilshan,16558,33.72,491,19654,1911,126,81.27
F du Plessis,16045,35.11,457,20159,1601,314,87.36
Q de Kock,15911,35.12,453,16208,1765,388,95.02
AD Mathews,15786,31.26,505,25439,1406,247,71.45
AN Cook,15737,40.77,386,30911,1818,21,51.6
JH Kallis,15736,38.19,412,24557,1584,187,66.13
MJ Clarke,15431,37.55,411,23751,1499,87,61.94
SR Watson,15400,31.05,496,17643,1600,480,91.62
SR Tendulkar,15192,42.08,361,21563,1865,119,71.4
KP Pietersen,15032,38.74,388,19880,1633,240,77.25
V Sehwag,14775,35.26,419,14750,1981,291,97.46
GC Smith,14487,38.43,377,20557,1746,87,67.66
Mushfiqur Rahim,14447,30.1,480,22617,1383,162,65.3
Babar Azam,14400,40.91,352,18076,1497,162,79.27
Tamim Iqbal,14291,34.35,416,19981,1651,182,69.93
MEK Hussey,14224,36.57,389,20464,1297,203,78.75
KL Rahul,14172,35.97,394,16314,1323,396,93.73
Shakib Al Hasan,14171,28.74,493,17787,1464,151,79.21
RT Ponting,14121,38.16,370,20379,1464,139,63.88
AJ Finch,13988,31.29,447,13330,1358,440,98.27
G Gambhir,13849,33.78,410,17670,1585,96,81.03
MJ Guptill,13684,32.05,427,16976,1407,400,82.8
SK Raina,13438,27.71,485,12981,1219,385,97.38
AM Rahane,13380,30.97,432,18526,1416,197,76.69
IR Bell,13077,36.43,359,22254,1436,77,58.63
JM Bairstow,13054,32.88,397,16352,1459,290,83.63
GJ Maxwell,12695,25.39,500,9435,1111,594,117.33
Younis Khan,12343,36.52,338,20565,1143,101,56.72
Yuvraj Singh,12292,28.19,436,13736,1227,374,87.68
Mohammad Hafeez,12177,29.48,413,16224,1308,208,71.02
BA Stokes,12140,31.45,386,16846,1226,308,76.96
EJG Morgan,11820,27.3,433,12341,997,393,90.83
R Dravid,11780,34.34,343,20828,1338,60,64.71
BKG Mendis,11007,31.45,350,14625,1188,205,74.29
LD Chandimal,10959,30.61,358,18647,998,106,61.74
JP Duminy,10940,27.77,394,13760,855,227,85.16
Misbah-ul-Haq,10742,36.05,298,18726,868,189,64.96
TWM Latham,10630,32.91,323,17921,1071,85,57.96
TM Head,10549,34.47,306,11223,1169,273,99.55
RA Jadeja,10519,21.38,492,13575,870,264,96.84
SE Marsh,10433,34.66,301,12866,1036,216,83.4
DA Miller,10433,25.45,410,8862,738,420,111.24
Mahmudullah,10254,25.7,399,14210,897,194,75.48
S Chanderpaul,10167,38.37,265,19582,938,66,56.89
MR Marsh,10109,28.24,358,10655,937,382,93.81
Shubman Gill,10020,37.67,266,10648,1058,245,97.08
UT Khawaja,9979,36.55,273,16242,1089,80,71.03
Shoaib Malik,9838,26.52,371,12116,841,176,85.85
ML Hayden,9360,42.35,221,12422,1039,157,77.17
AJ Strauss,9126,34.83,262,16013,1057,29,53.72
RR Pant,9006,30.22,298,8937,885,328,103.48
