bowler,total_wickets,innings,overs,runs,economy,strike_rate,average,dots,balls,dot_ball_pct
R Ashwin,996,590,6576.4,25885,5.53,29.61,19.92,25281,39461,64.07
JM Anderson,993,535,8044.1,27006,3.89,43.96,24.11,35685,48266,73.93
SCJ Broad,888,488,6823.6,24705,4.4,39.91,24.18,29552,40941,72.18
TG Southee,862,535,5858.3,25090,5.81,30.64,22.16,23678,35149,67.36
MA Starc,849,441,4694.9,21003,5.57,28.79,21.8,18745,28170,66.54
DW Steyn,829,434,4576.8,19163,5.19,28.06,20.04,18748,27459,68.28
RA Jadeja,814,645,5774.0,23610,5.96,23.93,15.76,21555,34645,62.22
TA Boult,779,447,4608.8,20181,5.9,30.44,23.08,18596,27655,67.24
SL Malinga,741,469,3170.0,18160,6.28,20.19,19.3,10173,19019,53.49
Shakib Al Hasan,734,506,4869.0,20601,5.43,26.17,18.8,17503,29215,59.91
K Rabada,730,385,3625.0,17211,6.08,25.59,20.73,14288,21749,65.69
MG Johnson,692,388,4254.2,18341,5.24,29.31,21.32,17051,25525,66.8
JJ Bumrah,683,402,3145.1,14181,5.71,20.73,16.23,12035,18870,63.78
NM Lyon,658,326,6153.9,19802,3.94,48.67,26.61,26366,36925,71.4
M Morkel,655,393,4149.2,17369,5.25,30.11,21.39,17176,24894,69.0
PJ Cummins,632,363,3655.4,15737,5.81,29.19,21.9,14550,21931,66.34
Mohammed Shami,625,372,3307.3,16268,6.22,25.78,21.52,12629,19842,63.65
DJ Bravo,620,465,2801.8,16122,7.14,17.91,16.84,8535,16810,50.77
Harbhajan Singh,619,443,4882.3,19396,5.35,31.44,21.04,18138,29294,61.92
JR Hazlewood,607,346,3782.6,14653,5.07,32.46,20.83,15909,22695,70.1
Z Khan,573,350,3626.1,16178,5.56,29.25,22.0,14228,21758,65.39
M Muralitharan,562,289,3472.4,12961,4.73,30.77,20.36,13335,20835,64.0
B Lee,546,323,3134.0,14358,5.53,28.48,22.24,12444,18804,66.18
I Sharma,545,394,4249.1,17924,5.62,28.95,20.21,17397,25495,68.24
B Kumar,529,431,2522.9,14441,6.61,16.98,16.53,8493,15136,56.11
HMRKB Herath,514,230,4485.8,13781,3.66,47.71,24.95,18835,26915,69.98
DL Vettori,481,329,4059.4,13725,4.39,31.27,17.83,16305,24356,66.94
A Zampa,479,347,1828.2,11945,6.99,16.62,18.02,4241,10971,38.66
JO Holder,477,369,3307.7,14728,6.05,26.32,19.28,12776,19845,64.38
UT Yadav,463,340,2616.1,13803,6.7,21.42,18.74,9486,15696,60.44
Saeed Ajmal,460,238,3132.3,10985,4.49,34.6,21.1,12426,18794,66.12
AU Rashid,459,315,2387.0,13335,6.47,23.9,22.36,6833,14322,47.71
CR Woakes,454,289,2992.0,12654,5.22,30.62,21.09,12042,17953,67.08
YS Chahal,453,319,1538.9,10841,7.64,15.49,18.12,3622,9234,39.22
KAJ Roach,439,259,3266.1,12272,4.44,34.13,20.91,14038,19598,71.63
Kuldeep Yadav,433,273,1798.0,9951,6.37,18.74,17.6,5369,10787,49.77
MM Ali,425,372,3389.5,15542,5.99,25.28,19.34,11882,20337,58.43
Umar Gul,423,261,2538.8,11678,5.53,25.32,19.75,9834,15233,64.56
Mustafizur Rahman,423,294,1798.3,10374,6.62,16.74,15.88,5729,10789,53.1
GP Swann,422,219,3299.1,11649,4.45,35.71,22.45,13283,19794,67.11
SR Watson,416,405,2375.1,11810,6.06,18.12,14.67,8363,14251,58.68
SP Narine,401,321,1800.8,9769,6.3,14.94,13.25,5487,10805,50.78
Shahid Afridi,401,330,2276.5,11657,5.75,19.69,16.21,6487,13661,47.49
M Ntini,397,215,2778.6,10950,4.53,36.19,23.94,11693,16672,70.14
Imran Tahir,388,237,1927.9,9366,5.77,24.58,19.52,6273,11567,54.23
BA Stokes,370,333,2922.5,12632,5.66,23.74,16.36,11435,17536,65.21
PM Siddle,370,239,2791.5,10385,5.19,34.44,20.84,12038,16749,71.87
MJ Santner,367,306,2342.5,10737,5.76,23.08,16.99,8000,14055,56.92
Shaheen Shah Afridi,361,201,1854.2,8989,6.19,27.53,22.16,7139,11126,64.17
MJ Henry,352,182,2071.7,8938,5.22,31.91,23.64,8218,12431,66.11
AR Patel,347,322,1724.7,9300,6.74,17.11,15.17,5314,10349,51.35
AS Joseph,347,214,1998.5,10163,6.38,26.96,22.86,7302,11991,60.9
