match_id,match_type,season,venue,city,date,gender,overs,balls_per_over,player_of_match,toss_winner,toss_decision,match_winner,result_type,result_margin,umpire_1,umpire_2,team_1,team_2
1,T20,2016/17,Sydney Showground Stadium,unknown,2016-12-20,male,20,6,MC Henriques,Sydney Sixers,field,Sydney Sixers,9,9,unknown,unknown,Sydney Thunder,Sydney Sixers
2,T20,2016/17,Adelaide Oval,unknown,2016-12-21,male,20,6,BB McCullum,Adelaide Strikers,field,Brisbane Heat,10,10,unknown,unknown,Adelaide Strikers,Brisbane Heat
3,T20,2016/17,Docklands Stadium,Melbourne,2016-12-22,male,20,6,AJ Finch,Sydney Thunder,field,Melbourne Renegades,49,49,unknown,unknown,Melbourne Renegades,Sydney Thunder
4,T20,2016/17,Sydney Cricket Ground,unknown,2016-12-23,male,20,6,DJM Short,Sydney Sixers,field,Hobart Hurricanes,60,60,unknown,unknown,Sydney Sixers,Hobart Hurricanes
5,T20,2016/17,Western Australia Cricket Association Ground,Perth,2016-12-23,male,20,6,AJ Turner,Adelaide Strikers,field,Perth Scorchers,48,48,unknown,unknown,Perth Scorchers,Adelaide Strikers
6,T20,2016/17,Bellerive Oval,Hobart,2016-12-26,male,20,6,RJ Quiney,Hobart Hurricanes,bat,Melbourne Stars,7,7,unknown,unknown,Hobart Hurricanes,Melbourne Stars
7,T20,2016/17,Sydney Cricket Ground,unknown,2016-12-27,male,20,6,J Botha,Perth Scorchers,bat,Sydney Sixers,6,6,unknown,unknown,Sydney Sixers,Perth Scorchers
8,T20,2016/17,Sydney Showground Stadium,unknown,2016-12-28,male,20,6,CA Lynn,Brisbane Heat,field,Brisbane Heat,3,3,unknown,unknown,Sydney Thunder,Brisbane Heat
9,T20,2016/17,Docklands Stadium,Melbourne,2016-12-29,male,20,6,M Klinger,Perth Scorchers,field,Perth Scorchers,4,4,unknown,unknown,Melbourne Renegades,Perth Scorchers
10,T20,2016/17,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2016-12-30,male,20,6,CA Lynn,Brisbane Heat,field,Brisbane Heat,7,7,unknown,unknown,Brisbane Heat,Hobart Hurricanes
11,T20,2016/17,Adelaide Oval,unknown,2016-12-31,male,20,6,SA Abbott,Sydney Sixers,field,Adelaide Strikers,48,48,unknown,unknown,Adelaide Strikers,Sydney Sixers
12,T20,2016/17,Melbourne Cricket Ground,unknown,2017-01-01,male,20,6,GB Hogg,Melbourne Stars,field,Melbourne Renegades,7,7,unknown,unknown,Melbourne Stars,Melbourne Renegades
13,T20,2016/17,Western Australia Cricket Association Ground,Perth,2017-01-01,male,20,6,MR Marsh,Sydney Thunder,field,Perth Scorchers,50,50,unknown,unknown,Perth Scorchers,Sydney Thunder
14,T20,2016/17,Bellerive Oval,Hobart,2017-01-02,male,20,6,DT Christian,Hobart Hurricanes,field,Hobart Hurricanes,8,8,unknown,unknown,Hobart Hurricanes,Adelaide Strikers
15,T20,2016/17,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2017-01-03,male,20,6,DP Hughes,Sydney Sixers,field,Sydney Sixers,3,3,unknown,unknown,Brisbane Heat,Sydney Sixers
16,T20,2016/17,Sydney Showground Stadium,unknown,2017-01-04,male,20,6,EJG Morgan,Sydney Thunder,field,Sydney Thunder,6,6,unknown,unknown,Sydney Thunder,Melbourne Stars
17,T20,2016/17,Western Australia Cricket Association Ground,Perth,2017-01-05,male,20,6,CA Lynn,Perth Scorchers,bat,Brisbane Heat,9,9,unknown,unknown,Perth Scorchers,Brisbane Heat
18,T20,2016/17,Adelaide Oval,unknown,2017-01-06,male,20,6,BR Dunk,Adelaide Strikers,field,Adelaide Strikers,5,5,unknown,unknown,Adelaide Strikers,Hobart Hurricanes
19,T20,2016/17,Docklands Stadium,Melbourne,2017-01-07,male,20,6,A Zampa,Melbourne Renegades,field,Melbourne Stars,46,46,unknown,unknown,Melbourne Renegades,Melbourne Stars
20,T20,2016/17,Bellerive Oval,Hobart,2017-01-08,male,20,6,SR Watson,Sydney Thunder,field,Sydney Thunder,6,6,unknown,unknown,Hobart Hurricanes,Sydney Thunder
21,T20,2016/17,Sydney Cricket Ground,unknown,2017-01-09,male,20,6,BJ Haddin,Melbourne Renegades,bat,Sydney Sixers,6,6,unknown,unknown,Sydney Sixers,Melbourne Renegades
22,T20,2016/17,Melbourne Cricket Ground,unknown,2017-01-10,male,20,6,BW Hilfenhaus,Melbourne Stars,field,Melbourne Stars,2,2,unknown,unknown,Melbourne Stars,Adelaide Strikers
23,T20,2016/17,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2017-01-11,male,20,6,M Klinger,Brisbane Heat,field,Perth Scorchers,27,27,unknown,unknown,Brisbane Heat,Perth Scorchers
24,T20,2016/17,Docklands Stadium,Melbourne,2017-01-12,male,20,6,BR McDermott,Hobart Hurricanes,field,Hobart Hurricanes,2,2,unknown,unknown,Melbourne Renegades,Hobart Hurricanes
25,T20,2016/17,Sydney Cricket Ground,unknown,2017-01-14,male,20,6,Fawad Ahmed,Sydney Sixers,bat,Sydney Thunder,8,8,unknown,unknown,Sydney Sixers,Sydney Thunder
26,T20,2016/17,Western Australia Cricket Association Ground,Perth,2017-01-14,male,20,6,MA Beer,Perth Scorchers,bat,Melbourne Stars,7,7,unknown,unknown,Perth Scorchers,Melbourne Stars
27,T20,2016/17,Adelaide Oval,unknown,2017-01-16,male,20,6,MS Harris,Adelaide Strikers,field,Melbourne Renegades,6,6,unknown,unknown,Adelaide Strikers,Melbourne Renegades
28,T20,2016/17,Melbourne Cricket Ground,unknown,2017-01-17,male,20,6,MJ Swepson,Melbourne Stars,bat,Brisbane Heat,7,7,unknown,unknown,Melbourne Stars,Brisbane Heat
29,T20,2016/17,Sydney Showground Stadium,unknown,2017-01-18,male,20,6,IS Sodhi,Sydney Thunder,field,Adelaide Strikers,77,77,unknown,unknown,Sydney Thunder,Adelaide Strikers
30,T20,2016/17,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2017-01-20,male,20,6,AJ Finch,Brisbane Heat,field,Melbourne Renegades,1,1,unknown,unknown,Brisbane Heat,Melbourne Renegades
31,T20,2016/17,Bellerive Oval,Hobart,2017-01-21,male,20,6,SE Marsh,Perth Scorchers,field,Perth Scorchers,7,7,unknown,unknown,Hobart Hurricanes,Perth Scorchers
32,T20,2016/17,Melbourne Cricket Ground,unknown,2017-01-21,male,20,6,SA Abbott,Sydney Sixers,field,Sydney Sixers,3,3,unknown,unknown,Melbourne Stars,Sydney Sixers
unknown,T20,2016/17,Western Australia Cricket Association Ground,Perth,2017-01-24,male,20,6,MG Johnson,Perth Scorchers,field,Perth Scorchers,7,7,unknown,unknown,Perth Scorchers,Melbourne Stars
unknown,T20,2016/17,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2017-01-25,male,20,6,MC Henriques,Sydney Sixers,field,unknown,unknown,0,unknown,unknown,Brisbane Heat,Sydney Sixers
unknown,T20,2016/17,Western Australia Cricket Association Ground,Perth,2017-01-28,male,20,6,JA Richardson,Perth Scorchers,field,Perth Scorchers,9,9,unknown,unknown,Perth Scorchers,Sydney Sixers
1,T20,2017/18,Sydney Showground Stadium,Sydney,2017-12-19,male,20,6,SR Watson,Sydney Thunder,field,Sydney Thunder,5,5,unknown,unknown,Sydney Thunder,Sydney Sixers
2,T20,2017/18,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2017-12-20,male,20,6,MP Stoinis,Melbourne Stars,field,Brisbane Heat,15,15,unknown,unknown,Brisbane Heat,Melbourne Stars
3,T20,2017/18,Bellerive Oval,Hobart,2017-12-21,male,20,6,DJ Bravo,Melbourne Renegades,field,Melbourne Renegades,7,7,unknown,unknown,Hobart Hurricanes,Melbourne Renegades
4,T20,2017/18,Adelaide Oval,Adelaide,2017-12-22,male,20,6,Rashid Khan,Adelaide Strikers,bat,Adelaide Strikers,53,53,unknown,unknown,Adelaide Strikers,Sydney Thunder
5,T20,2017/18,Sydney Cricket Ground,Sydney,2017-12-23,male,20,6,AJ Turner,Perth Scorchers,field,Perth Scorchers,6,6,unknown,unknown,Sydney Sixers,Perth Scorchers
6,T20,2017/18,Docklands Stadium,Melbourne,2017-12-23,male,20,6,JD Wildermuth,Melbourne Renegades,field,Melbourne Renegades,7,7,unknown,unknown,Melbourne Renegades,Brisbane Heat
7,T20,2017/18,W.A.C.A. Ground,Perth,2017-12-26,male,20,6,HWR Cartwright,Melbourne Stars,field,Perth Scorchers,13,13,unknown,unknown,Perth Scorchers,Melbourne Stars
8,T20,2017/18,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2017-12-27,male,20,6,AI Ross,Sydney Thunder,bat,Brisbane Heat,6,6,unknown,unknown,Brisbane Heat,Sydney Thunder
9,T20,2017/18,Sydney Cricket Ground,Sydney,2017-12-28,male,20,6,AT Carey,Sydney Sixers,field,Adelaide Strikers,6,6,unknown,unknown,Sydney Sixers,Adelaide Strikers
10,T20,2017/18,Docklands Stadium,Melbourne,2017-12-29,male,20,6,MG Johnson,Perth Scorchers,field,Perth Scorchers,3,3,unknown,unknown,Melbourne Renegades,Perth Scorchers
11,T20,2017/18,Aurora Stadium,Launceston,2017-12-30,male,20,6,JC Buttler,Hobart Hurricanes,field,Sydney Thunder,57,57,unknown,unknown,Hobart Hurricanes,Sydney Thunder
12,T20,2017/18,Adelaide Oval,Adelaide,2017-12-31,male,20,6,MG Neser,Adelaide Strikers,bat,Adelaide Strikers,56,56,unknown,unknown,Adelaide Strikers,Brisbane Heat
13,T20,2017/18,Sydney Showground Stadium,Sydney,2018-01-01,male,20,6,DJM Short,Sydney Thunder,field,Hobart Hurricanes,9,9,unknown,unknown,Sydney Thunder,Hobart Hurricanes
14,T20,2017/18,W.A.C.A. Ground,Perth,2018-01-01,male,20,6,M Klinger,Perth Scorchers,field,Perth Scorchers,6,6,unknown,unknown,Perth Scorchers,Sydney Sixers
15,T20,2017/18,Melbourne Cricket Ground,Melbourne,2018-01-02,male,20,6,MJ Swepson,Brisbane Heat,field,Brisbane Heat,9,9,unknown,unknown,Melbourne Stars,Brisbane Heat
16,T20,2017/18,"Simonds Stadium, South Geelong, Victoria",Geelong,2018-01-03,male,20,6,AJ Finch,Melbourne Renegades,field,Melbourne Renegades,8,8,unknown,unknown,Melbourne Renegades,Sydney Sixers
17,T20,2017/18,Bellerive Oval,Hobart,2018-01-04,male,20,6,DJM Short,Hobart Hurricanes,bat,Hobart Hurricanes,7,7,unknown,unknown,Hobart Hurricanes,Adelaide Strikers
18,T20,2017/18,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2018-01-05,male,20,6,BCJ Cutting,Perth Scorchers,field,Brisbane Heat,49,49,unknown,unknown,Brisbane Heat,Perth Scorchers
19,T20,2017/18,Melbourne Cricket Ground,Melbourne,2018-01-06,male,20,6,Mohammad Nabi,Melbourne Renegades,field,Melbourne Renegades,6,6,unknown,unknown,Melbourne Stars,Melbourne Renegades
20,T20,2017/18,Sydney Showground Stadium,Sydney,2018-01-07,male,20,6,Rashid Khan,Adelaide Strikers,bat,Adelaide Strikers,25,25,unknown,unknown,Sydney Thunder,Adelaide Strikers
21,T20,2017/18,Bellerive Oval,Hobart,2018-01-08,male,20,6,SW Billings,Hobart Hurricanes,bat,Hobart Hurricanes,5,5,unknown,unknown,Hobart Hurricanes,Sydney Sixers
22,T20,2017/18,W.A.C.A. Ground,Perth,2018-01-08,male,20,6,AJ Turner,Perth Scorchers,field,Perth Scorchers,5,5,unknown,unknown,Perth Scorchers,Melbourne Renegades
23,T20,2017/18,Adelaide Oval,Adelaide,2018-01-09,male,20,6,TM Head,Melbourne Stars,bat,Adelaide Strikers,8,8,unknown,unknown,Adelaide Strikers,Melbourne Stars
