match_id,innings,batting_team,batters,runs,balls,wicket
1,1,Sydney Thunder,"KR Patterson, RJ Gibson",11,16,KR Patterson
1,1,Sydney Thunder,"EJG Morgan, RJ Gibson",47,34,EJG Morgan
1,1,Sydney Thunder,"BJ Rohrer, RJ Gibson",3,6,BJ Rohrer
1,1,Sydney Thunder,"JR Doran, RJ Gibson",0,2,JR Doran
1,1,Sydney Thunder,"AD Russell, RJ Gibson",12,12,AD Russell
1,1,Sydney Thunder,"CJ Green, RJ Gibson",0,2,CJ Green
1,1,Sydney Thunder,"PJ Cummins, RJ Gibson",40,30,RJ Gibson
1,1,Sydney Thunder,"CJ McKay, PJ Cummins",18,15,PJ Cummins
1,1,Sydney Thunder,"CJ McKay, GS Sandhu",12,7,innings end
1,2,Sydney Sixers,"DP Hughes, JJ Roy",44,34,JJ Roy
1,2,Sydney Sixers,"DP Hughes, MC Henriques",113,77,innings end
2,1,Brisbane Heat,"BB McCullum, JJ Peirson",88,51,JJ Peirson
2,1,Brisbane Heat,"BB McCullum, CA Lynn",0,1,BB McCullum
2,1,Brisbane Heat,"AI Ross, CA Lynn",39,37,CA Lynn
2,1,Brisbane Heat,"AI Ross, BCJ Cutting",25,17,BCJ Cutting
2,1,Brisbane Heat,"AI Ross, JA Burns",45,18,AI Ross
2,2,Adelaide Strikers,"BR Dunk, J Weatherald",128,69,J Weatherald
2,2,Adelaide Strikers,"BR Dunk, TM Head",9,8,BR Dunk
2,2,Adelaide Strikers,"BJ Hodge, TM Head",39,33,TM Head
2,2,Adelaide Strikers,"BJ Hodge, KA Pollard",8,7,KA Pollard
2,2,Adelaide Strikers,"BJ Hodge, JS Lehmann",1,3,JS Lehmann
2,2,Adelaide Strikers,"BJ Hodge, CJ Jordan",4,4,CJ Jordan
3,1,Melbourne Renegades,"AJ Finch, MS Harris",41,32,MS Harris
3,1,Melbourne Renegades,"AJ Finch, CL White",6,6,CL White
3,1,Melbourne Renegades,"AJ Finch, CJ Ferguson",43,33,AJ Finch
3,1,Melbourne Renegades,"CJ Ferguson, DJ Bravo",39,28,DJ Bravo
3,1,Melbourne Renegades,"CJ Ferguson, TLW Cooper",15,8,TLW Cooper
3,1,Melbourne Renegades,"CJ Ferguson, PM Nevill",13,10,CJ Ferguson
3,1,Melbourne Renegades,"CP Tremain, PM Nevill",0,2,CP Tremain
3,1,Melbourne Renegades,"PM Nevill, SP Narine",11,5,innings end
3,2,Sydney Thunder,"KR Patterson, RJ Gibson",0,1,KR Patterson
3,2,Sydney Thunder,"EJG Morgan, RJ Gibson",5,10,EJG Morgan
3,2,Sydney Thunder,"BJ Rohrer, RJ Gibson",65,62,RJ Gibson
3,2,Sydney Thunder,"AD Russell, BJ Rohrer",2,4,BJ Rohrer
3,2,Sydney Thunder,"AD Russell, PJ Cummins",13,17,AD Russell
3,2,Sydney Thunder,"AJ Nair, PJ Cummins",2,3,AJ Nair
3,2,Sydney Thunder,"CJ Green, PJ Cummins",10,6,CJ Green
3,2,Sydney Thunder,"JR Doran, PJ Cummins",20,12,JR Doran
3,2,Sydney Thunder,"CJ McKay, PJ Cummins",0,2,PJ Cummins
3,2,Sydney Thunder,"CJ McKay, Fawad Ahmed",0,1,CJ McKay
4,1,Hobart Hurricanes,"DJM Short, TD Paine",79,51,DJM Short
4,1,Hobart Hurricanes,"KC Sangakkara, TD Paine",38,24,KC Sangakkara
4,1,Hobart Hurricanes,"GJ Bailey, TD Paine",20,15,GJ Bailey
4,1,Hobart Hurricanes,"DT Christian, TD Paine",22,15,TD Paine
4,1,Hobart Hurricanes,"DP Michael, DT Christian",15,6,DP Michael
4,1,Hobart Hurricanes,"DT Christian, HP Kingston",0,1,DT Christian
4,1,Hobart Hurricanes,"CJ Boyce, HP Kingston",17,11,innings end
4,2,Sydney Sixers,"JC Silk, JJ Roy",26,22,JC Silk
4,2,Sydney Sixers,"JJ Roy, MC Henriques",5,3,MC Henriques
4,2,Sydney Sixers,"BJ Haddin, JJ Roy",24,10,BJ Haddin
4,2,Sydney Sixers,"JJ Roy, SW Billings",6,9,JJ Roy
4,2,Sydney Sixers,"J Botha, SW Billings",38,30,J Botha
