bowler,batter,balls_faced,runs_scored,dismissals,dots,fours,sixes,strike_rate,dot_ball_pct,dismissal_rate,boundary_pct
A Zampa,AC Agar,18,28,0,3,0,2,155.56,16.67,0.0,11.11
A Zampa,AC Voges,29,36,1,5,2,0,124.14,17.24,3.45,6.9
A Zampa,AD Hales,32,30,2,18,2,2,93.75,56.25,6.25,12.5
A Zampa,AI Ross,77,116,3,17,10,4,150.65,22.08,3.9,18.18
A Zampa,AJ Finch,36,33,3,14,3,1,91.67,38.89,8.33,11.11
A Zampa,AJ Hose,20,15,0,7,0,0,75.0,35.0,0.0,0.0
A Zampa,AJ Turner,33,55,1,9,4,4,166.67,27.27,3.03,24.24
A Zampa,AM Hardie,29,43,1,7,3,2,148.28,24.14,3.45,17.24
A Zampa,AT Carey,31,43,1,7,1,2,138.71,22.58,3.23,9.68
A Zampa,BCJ Cutting,30,34,1,15,0,3,113.33,50.0,3.33,10.0
A Zampa,BJ Hodge,16,22,0,1,1,0,137.5,6.25,0.0,6.25
A Zampa,BJ Rohrer,16,18,1,2,2,0,112.5,12.5,6.25,12.5
A Zampa,BJ Webster,39,21,2,22,1,0,53.85,56.41,5.13,2.56
A Zampa,BM Duckett,18,25,1,5,3,0,138.89,27.78,5.56,16.67
A Zampa,BR McDermott,41,51,0,12,3,2,124.39,29.27,0.0,12.2
A Zampa,C Connolly,10,18,1,3,0,2,180.0,30.0,10.0,20.0
A Zampa,CA Ingram,12,5,0,6,0,0,41.67,50.0,0.0,0.0
A Zampa,CA Lynn,98,90,5,51,5,6,91.84,52.04,5.1,11.22
A Zampa,CA Rose,10,17,0,4,0,2,170.0,40.0,0.0,20.0
A Zampa,CH Morris,12,17,1,5,1,1,141.67,41.67,8.33,16.67
A Zampa,CJ Ferguson,28,34,1,6,2,1,121.43,21.43,3.57,10.71
A Zampa,CJ Green,12,20,1,2,1,1,166.67,16.67,8.33,16.67
A Zampa,CL White,49,65,2,11,3,4,132.65,22.45,4.08,14.29
A Zampa,CP Jewell,15,25,0,2,2,1,166.67,13.33,0.0,20.0
A Zampa,CT Bancroft,11,19,0,1,0,1,172.73,9.09,0.0,9.09
A Zampa,DA Warner,12,22,0,2,2,1,183.33,16.67,0.0,25.0
A Zampa,DJ Hussey,11,12,0,1,0,0,109.09,9.09,0.0,0.0
A Zampa,DJM Short,25,36,2,9,3,2,144.0,36.0,8.0,20.0
A Zampa,DP Hughes,27,59,0,2,3,4,218.52,7.41,0.0,25.93
