match_id,innings,team,batter,runs,balls,fours,sixes,dots,strike_rate,dismissed,dismissal_type
1,1,Sunrisers Hyderabad,DA Warner,14,9,2,1,4,155.56,1,caught
1,1,Sunrisers Hyderabad,S Dhawan,40,31,5,0,6,129.03,1,caught
1,1,Sunrisers Hyderabad,MC Henriques,52,37,3,2,9,140.54,1,caught
1,1,Sunrisers Hyderabad,Yuvraj Singh,62,30,7,3,4,206.67,1,bowled
1,1,Sunrisers Hyderabad,DJ Hooda,16,12,0,1,2,133.33,0,not out
1,1,Sunrisers Hyderabad,BCJ Cutting,16,6,0,2,1,266.67,0,not out
1,2,Royal Challengers Bangalore,CH Gayle,32,23,2,3,11,139.13,1,caught
1,2,Royal Challengers Bangalore,Mandeep Singh,24,16,5,0,8,150.0,1,bowled
1,2,Royal Challengers Bangalore,TM Head,30,22,3,0,4,136.36,1,caught
1,2,Royal Challengers Bangalore,KM Jadhav,31,18,4,1,2,172.22,1,run out
1,2,Royal Challengers Bangalore,SR Watson,22,17,1,1,5,129.41,1,caught
1,2,Royal Challengers Bangalore,Sachin Baby,1,3,0,0,2,33.33,1,caught
1,2,Royal Challengers Bangalore,STR Binny,11,10,0,1,4,110.0,1,caught
1,2,Royal Challengers Bangalore,S Aravind,0,2,0,0,2,0.0,1,bowled
1,2,Royal Challengers Bangalore,YS Chahal,3,7,0,0,4,42.86,0,not out
1,2,Royal Challengers Bangalore,TS Mills,6,3,0,1,1,200.0,1,caught
1,2,Royal Challengers Bangalore,A Choudhary,6,2,0,1,1,300.0,0,not out
2,1,Mumbai Indians,PA Patel,19,15,4,0,7,126.67,1,bowled
2,1,Mumbai Indians,JC Buttler,38,19,3,3,10,200.0,1,lbw
2,1,Mumbai Indians,RG Sharma,3,7,0,0,4,42.86,1,bowled
2,1,Mumbai Indians,N Rana,34,29,1,2,9,117.24,1,caught
2,1,Mumbai Indians,AT Rayudu,10,12,0,0,2,83.33,1,caught and bowled
2,1,Mumbai Indians,KH Pandya,3,6,0,0,2,50.0,1,caught
2,1,Mumbai Indians,KA Pollard,27,17,3,1,4,158.82,1,caught
2,1,Mumbai Indians,HH Pandya,35,17,1,4,2,205.88,0,not out
2,1,Mumbai Indians,TG Southee,7,3,0,1,1,233.33,0,not out
2,2,Rising Pune Supergiant,AM Rahane,60,34,6,3,8,176.47,1,caught
2,2,Rising Pune Supergiant,MA Agarwal,6,6,1,0,1,100.0,1,caught
2,2,Rising Pune Supergiant,SPD Smith,84,55,7,3,14,152.73,0,not out
2,2,Rising Pune Supergiant,BA Stokes,21,15,3,0,3,140.0,1,caught
2,2,Rising Pune Supergiant,MS Dhoni,12,12,1,0,3,100.0,0,not out
3,1,Gujarat Lions,JJ Roy,14,13,3,0,7,107.69,1,caught
3,1,Gujarat Lions,BB McCullum,35,24,4,2,11,145.83,1,lbw
3,1,Gujarat Lions,SK Raina,68,52,7,0,9,130.77,0,not out
3,1,Gujarat Lions,AJ Finch,15,8,0,2,3,187.5,1,caught
3,1,Gujarat Lions,KD Karthik,47,25,6,2,5,188.0,1,caught
3,2,Kolkata Knight Riders,G Gambhir,76,50,12,0,12,152.0,0,not out
3,2,Kolkata Knight Riders,CA Lynn,93,46,6,8,9,202.17,0,not out
4,1,Rising Pune Supergiant,AM Rahane,19,15,1,1,4,126.67,1,caught
4,1,Rising Pune Supergiant,MA Agarwal,0,4,0,0,4,0.0,1,bowled
4,1,Rising Pune Supergiant,SPD Smith,26,28,3,0,11,92.86,1,caught
4,1,Rising Pune Supergiant,BA Stokes,50,34,2,3,3,147.06,1,caught and bowled
4,1,Rising Pune Supergiant,MS Dhoni,5,13,0,0,6,38.46,1,caught and bowled
4,1,Rising Pune Supergiant,MK Tiwary,40,23,3,2,2,173.91,0,not out
4,1,Rising Pune Supergiant,DT Christian,17,8,2,1,2,212.5,1,caught
4,2,Kings XI Punjab,HM Amla,28,27,2,1,10,103.7,1,caught
4,2,Kings XI Punjab,M Vohra,14,11,1,1,3,127.27,1,caught
4,2,Kings XI Punjab,WP Saha,14,9,3,0,4,155.56,1,bowled
4,2,Kings XI Punjab,AR Patel,24,25,1,1,7,96.0,1,caught and bowled
4,2,Kings XI Punjab,GJ Maxwell,44,23,3,4,4,191.3,0,not out
4,2,Kings XI Punjab,DA Miller,30,27,1,2,12,111.11,0,not out
5,1,Royal Challengers Bangalore,CH Gayle,6,9,1,0,5,66.67,1,caught
5,1,Royal Challengers Bangalore,SR Watson,24,25,4,0,11,96.0,1,stumped
5,1,Royal Challengers Bangalore,Mandeep Singh,12,10,3,0,7,120.0,1,bowled
5,1,Royal Challengers Bangalore,KM Jadhav,69,38,5,5,10,181.58,1,caught
5,1,Royal Challengers Bangalore,STR Binny,16,19,1,0,6,84.21,1,caught
5,1,Royal Challengers Bangalore,Vishnu Vinod,9,5,0,1,1,180.0,1,run out
5,1,Royal Challengers Bangalore,Iqbal Abdulla,5,7,0,0,3,71.43,0,not out
5,1,Royal Challengers Bangalore,P Negi,10,8,0,1,4,125.0,1,bowled
