match_id,innings,team,bowler,overs,balls,runs,wickets,dots,fours,sixes,wides,noballs,economy,strike_rate,average
1,1,Royal Challengers Bangalore,TS Mills,4.0,24,32,1,10,3,1,1,0,8.0,24.0,32.0
1,1,Royal Challengers Bangalore,A Choudhary,4.0,24,55,1,5,5,3,3,1,13.75,24.0,55.0
1,1,Royal Challengers Bangalore,YS Chahal,4.0,24,22,1,5,0,0,0,0,5.5,24.0,22.0
1,1,Royal Challengers Bangalore,S Aravind,3.0,18,36,0,2,3,2,0,0,12.0,0.0,0.0
1,1,Royal Challengers Bangalore,SR Watson,3.0,18,41,0,3,5,2,0,0,13.67,0.0,0.0
1,1,Royal Challengers Bangalore,TM Head,1.0,6,11,0,0,0,1,0,0,11.0,0.0,0.0
1,1,Royal Challengers Bangalore,STR Binny,1.0,6,10,1,1,1,0,0,0,10.0,6.0,10.0
1,2,Sunrisers Hyderabad,A Nehra,4.0,24,42,2,8,6,1,1,0,10.5,12.0,21.0
1,2,Sunrisers Hyderabad,B Kumar,4.0,24,28,2,11,1,2,1,0,7.0,12.0,14.0
1,2,Sunrisers Hyderabad,BCJ Cutting,3.7,22,35,1,10,2,3,2,0,9.55,22.0,35.0
1,2,Sunrisers Hyderabad,Rashid Khan,4.0,24,36,2,8,4,1,0,0,9.0,12.0,18.0
1,2,Sunrisers Hyderabad,DJ Hooda,1.0,6,7,1,4,0,1,0,0,7.0,6.0,7.0
1,2,Sunrisers Hyderabad,MC Henriques,2.0,12,20,1,1,2,0,0,1,10.0,12.0,20.0
1,2,Sunrisers Hyderabad,Bipul Sharma,1.0,6,4,1,2,0,0,0,0,4.0,6.0,4.0
2,1,Rising Pune Supergiant,AB Dinda,4.0,24,58,1,8,5,4,3,0,14.5,24.0,58.0
2,1,Rising Pune Supergiant,DL Chahar,2.0,12,21,0,6,3,1,0,0,10.5,0.0,0.0
2,1,Rising Pune Supergiant,BA Stokes,4.0,24,36,1,10,0,4,1,0,9.0,24.0,36.0
