match_id,match_type,season,venue,city,date,gender,overs,balls_per_over,player_of_match,toss_winner,toss_decision,match_winner,result_type,result_margin,umpire_1,umpire_2,team_1,team_2
1,T20,2017,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-04-05,male,20,6,Yuvraj Singh,Royal Challengers Bangalore,field,Sunrisers Hyderabad,35,35,unknown,unknown,Sunrisers Hyderabad,Royal Challengers Bangalore
2,T20,2017,Maharashtra Cricket Association Stadium,Pune,2017-04-06,male,20,6,SPD Smith,Rising Pune Supergiant,field,Rising Pune Supergiant,7,7,unknown,unknown,Rising Pune Supergiant,Mumbai Indians
3,T20,2017,Saurashtra Cricket Association Stadium,Rajkot,2017-04-07,male,20,6,CA Lynn,Kolkata Knight Riders,field,Kolkata Knight Riders,10,10,unknown,unknown,Gujarat Lions,Kolkata Knight Riders
4,T20,2017,Holkar Cricket Stadium,Indore,2017-04-08,male,20,6,GJ Maxwell,Kings XI Punjab,field,Kings XI Punjab,6,6,unknown,unknown,Kings XI Punjab,Rising Pune Supergiant
5,T20,2017,M.Chinnaswamy Stadium,Bengaluru,2017-04-08,male,20,6,KM Jadhav,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,15,15,unknown,unknown,Royal Challengers Bangalore,Delhi Daredevils
6,T20,2017,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-04-09,male,20,6,Rashid Khan,Sunrisers Hyderabad,field,Sunrisers Hyderabad,9,9,unknown,unknown,Sunrisers Hyderabad,Gujarat Lions
7,T20,2017,Wankhede Stadium,Mumbai,2017-04-09,male,20,6,N Rana,Mumbai Indians,field,Mumbai Indians,4,4,unknown,unknown,Mumbai Indians,Kolkata Knight Riders
8,T20,2017,Holkar Cricket Stadium,Indore,2017-04-10,male,20,6,AR Patel,Royal Challengers Bangalore,bat,Kings XI Punjab,8,8,unknown,unknown,Kings XI Punjab,Royal Challengers Bangalore
9,T20,2017,Maharashtra Cricket Association Stadium,Pune,2017-04-11,male,20,6,SV Samson,Rising Pune Supergiant,field,Delhi Daredevils,97,97,unknown,unknown,Rising Pune Supergiant,Delhi Daredevils
10,T20,2017,Wankhede Stadium,Mumbai,2017-04-12,male,20,6,JJ Bumrah,Mumbai Indians,field,Mumbai Indians,4,4,unknown,unknown,Mumbai Indians,Sunrisers Hyderabad
11,T20,2017,Eden Gardens,Kolkata,2017-04-13,male,20,6,SP Narine,Kolkata Knight Riders,field,Kolkata Knight Riders,8,8,unknown,unknown,Kolkata Knight Riders,Kings XI Punjab
12,T20,2017,M Chinnaswamy Stadium,Bangalore,2017-04-14,male,20,6,KA Pollard,Mumbai Indians,field,Mumbai Indians,4,4,unknown,unknown,Royal Challengers Bangalore,Mumbai Indians
13,T20,2017,Saurashtra Cricket Association Stadium,Rajkot,2017-04-14,male,20,6,AJ Tye,Gujarat Lions,field,Gujarat Lions,7,7,unknown,unknown,Gujarat Lions,Rising Pune Supergiant
14,T20,2017,Eden Gardens,Kolkata,2017-04-15,male,20,6,RV Uthappa,Sunrisers Hyderabad,field,Kolkata Knight Riders,17,17,unknown,unknown,Kolkata Knight Riders,Sunrisers Hyderabad
15,T20,2017,Feroz Shah Kotla,Delhi,2017-04-15,male,20,6,CJ Anderson,Delhi Daredevils,bat,Delhi Daredevils,51,51,unknown,unknown,Delhi Daredevils,Kings XI Punjab
16,T20,2017,Wankhede Stadium,Mumbai,2017-04-16,male,20,6,N Rana,Mumbai Indians,field,Mumbai Indians,6,6,unknown,unknown,Mumbai Indians,Gujarat Lions
17,T20,2017,M Chinnaswamy Stadium,Bangalore,2017-04-16,male,20,6,BA Stokes,Royal Challengers Bangalore,field,Rising Pune Supergiant,27,27,unknown,unknown,Royal Challengers Bangalore,Rising Pune Supergiant
18,T20,2017,Feroz Shah Kotla,Delhi,2017-04-17,male,20,6,NM Coulter-Nile,Delhi Daredevils,bat,Kolkata Knight Riders,4,4,unknown,unknown,Delhi Daredevils,Kolkata Knight Riders
19,T20,2017,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-04-17,male,20,6,B Kumar,Kings XI Punjab,field,Sunrisers Hyderabad,5,5,unknown,unknown,Sunrisers Hyderabad,Kings XI Punjab
20,T20,2017,Saurashtra Cricket Association Stadium,Rajkot,2017-04-18,male,20,6,CH Gayle,Gujarat Lions,field,Royal Challengers Bangalore,21,21,unknown,unknown,Gujarat Lions,Royal Challengers Bangalore
21,T20,2017,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-04-19,male,20,6,KS Williamson,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,15,15,unknown,unknown,Sunrisers Hyderabad,Delhi Daredevils
22,T20,2017,Holkar Cricket Stadium,Indore,2017-04-20,male,20,6,JC Buttler,Mumbai Indians,field,Mumbai Indians,8,8,unknown,unknown,Kings XI Punjab,Mumbai Indians
23,T20,2017,Eden Gardens,Kolkata,2017-04-21,male,20,6,SK Raina,Gujarat Lions,field,Gujarat Lions,4,4,unknown,unknown,Kolkata Knight Riders,Gujarat Lions
25,T20,2017,Wankhede Stadium,Mumbai,2017-04-22,male,20,6,MJ McClenaghan,Delhi Daredevils,field,Mumbai Indians,14,14,unknown,unknown,Mumbai Indians,Delhi Daredevils
24,T20,2017,Maharashtra Cricket Association Stadium,Pune,2017-04-22,male,20,6,MS Dhoni,Rising Pune Supergiant,field,Rising Pune Supergiant,6,6,unknown,unknown,Rising Pune Supergiant,Sunrisers Hyderabad
26,T20,2017,Saurashtra Cricket Association Stadium,Rajkot,2017-04-23,male,20,6,HM Amla,Gujarat Lions,field,Kings XI Punjab,26,26,unknown,unknown,Gujarat Lions,Kings XI Punjab
27,T20,2017,Eden Gardens,Kolkata,2017-04-23,male,20,6,NM Coulter-Nile,Royal Challengers Bangalore,field,Kolkata Knight Riders,82,82,unknown,unknown,Kolkata Knight Riders,Royal Challengers Bangalore
