match_id,innings,batting_team,batters,runs,balls,wicket
1,1,Sunrisers Hyderabad,"DA Warner, S Dhawan",15,12,DA Warner
1,1,Sunrisers Hyderabad,"MC Henriques, S Dhawan",74,53,S Dhawan
1,1,Sunrisers Hyderabad,"MC Henriques, Yuvraj Singh",57,30,MC Henriques
1,1,Sunrisers Hyderabad,"DJ Hooda, Yuvraj Singh",37,22,Yuvraj Singh
1,1,Sunrisers Hyderabad,"BCJ Cutting, DJ Hooda",17,8,innings end
1,2,Royal Challengers Bangalore,"CH Gayle, Mandeep Singh",50,36,Mandeep Singh
1,2,Royal Challengers Bangalore,"CH Gayle, TM Head",8,5,CH Gayle
1,2,Royal Challengers Bangalore,"KM Jadhav, TM Head",53,34,KM Jadhav
1,2,Royal Challengers Bangalore,"SR Watson, TM Head",10,7,TM Head
1,2,Royal Challengers Bangalore,"SR Watson, Sachin Baby",2,5,Sachin Baby
1,2,Royal Challengers Bangalore,"SR Watson, STR Binny",26,19,STR Binny
1,2,Royal Challengers Bangalore,"S Aravind, SR Watson",2,4,SR Watson
1,2,Royal Challengers Bangalore,"S Aravind, TS Mills",0,1,S Aravind
1,2,Royal Challengers Bangalore,"TS Mills, YS Chahal",7,7,TS Mills
1,2,Royal Challengers Bangalore,"A Choudhary, YS Chahal",8,5,YS Chahal
2,1,Mumbai Indians,"JC Buttler, PA Patel",44,27,PA Patel
2,1,Mumbai Indians,"JC Buttler, RG Sharma",16,13,RG Sharma
2,1,Mumbai Indians,"JC Buttler, N Rana",1,2,JC Buttler
2,1,Mumbai Indians,"AT Rayudu, N Rana",28,27,AT Rayudu
2,1,Mumbai Indians,"KH Pandya, N Rana",13,14,KH Pandya
2,1,Mumbai Indians,"KA Pollard, N Rana",18,13,N Rana
2,1,Mumbai Indians,"HH Pandya, KA Pollard",20,18,KA Pollard
2,1,Mumbai Indians,"HH Pandya, TG Southee",36,10,TG Southee
2,1,Mumbai Indians,"HH Pandya, MJ McClenaghan",0,1,innings end
2,2,Rising Pune Supergiant,"AM Rahane, MA Agarwal",33,20,MA Agarwal
2,2,Rising Pune Supergiant,"AM Rahane, SPD Smith",58,42,AM Rahane
2,2,Rising Pune Supergiant,"BA Stokes, SPD Smith",48,33,BA Stokes
2,2,Rising Pune Supergiant,"MS Dhoni, SPD Smith",44,27,innings end
3,1,Gujarat Lions,"BB McCullum, JJ Roy",21,20,JJ Roy
3,1,Gujarat Lions,"BB McCullum, SK Raina",49,30,BB McCullum
3,1,Gujarat Lions,"AJ Finch, SK Raina",20,13,AJ Finch
3,1,Gujarat Lions,"KD Karthik, SK Raina",85,58,KD Karthik
3,1,Gujarat Lions,"DR Smith, SK Raina",4,1,innings end
3,2,Kolkata Knight Riders,"CA Lynn, G Gambhir",169,96,innings end
4,1,Rising Pune Supergiant,"AM Rahane, MA Agarwal",1,5,MA Agarwal
4,1,Rising Pune Supergiant,"AM Rahane, SPD Smith",35,33,AM Rahane
4,1,Rising Pune Supergiant,"BA Stokes, SPD Smith",12,12,SPD Smith
4,1,Rising Pune Supergiant,"BA Stokes, MS Dhoni",20,21,MS Dhoni
4,1,Rising Pune Supergiant,"BA Stokes, MK Tiwary",58,39,BA Stokes
4,1,Rising Pune Supergiant,"DT Christian, MK Tiwary",30,14,DT Christian
4,1,Rising Pune Supergiant,"MK Tiwary, R Bhatia",1,1,innings end
4,2,Kings XI Punjab,"HM Amla, M Vohra",25,19,M Vohra
4,2,Kings XI Punjab,"HM Amla, WP Saha",22,15,WP Saha
4,2,Kings XI Punjab,"AR Patel, HM Amla",32,34,HM Amla
4,2,Kings XI Punjab,"AR Patel, GJ Maxwell",1,4,AR Patel
4,2,Kings XI Punjab,"DA Miller, GJ Maxwell",74,50,innings end
5,1,Royal Challengers Bangalore,"CH Gayle, SR Watson",24,21,CH Gayle
5,1,Royal Challengers Bangalore,"Mandeep Singh, SR Watson",14,16,Mandeep Singh
5,1,Royal Challengers Bangalore,"KM Jadhav, SR Watson",14,17,SR Watson
5,1,Royal Challengers Bangalore,"KM Jadhav, STR Binny",63,40,STR Binny
5,1,Royal Challengers Bangalore,"KM Jadhav, Vishnu Vinod",21,10,Vishnu Vinod
5,1,Royal Challengers Bangalore,"KM Jadhav, P Negi",0,2,KM Jadhav
5,1,Royal Challengers Bangalore,"Iqbal Abdulla, P Negi",15,15,P Negi
5,1,Royal Challengers Bangalore,"Iqbal Abdulla, TS Mills",0,3,TS Mills
5,2,Delhi Daredevils,"AP Tare, SW Billings",32,29,AP Tare
5,2,Delhi Daredevils,"KK Nair, SW Billings",5,5,KK Nair
5,2,Delhi Daredevils,"SV Samson, SW Billings",17,12,SW Billings
5,2,Delhi Daredevils,"RR Pant, SV Samson",26,22,SV Samson
5,2,Delhi Daredevils,"CH Morris, RR Pant",22,14,CH Morris
5,2,Delhi Daredevils,"CR Brathwaite, RR Pant",6,11,CR Brathwaite
5,2,Delhi Daredevils,"PJ Cummins, RR Pant",12,9,PJ Cummins
5,2,Delhi Daredevils,"A Mishra, RR Pant",14,17,RR Pant
5,2,Delhi Daredevils,"A Mishra, S Nadeem",0,2,S Nadeem
5,2,Delhi Daredevils,"A Mishra, Z Khan",3,3,innings end
6,1,Gujarat Lions,"BB McCullum, JJ Roy",34,29,BB McCullum
6,1,Gujarat Lions,"JJ Roy, SK Raina",2,3,JJ Roy
6,1,Gujarat Lions,"AJ Finch, SK Raina",4,6,AJ Finch
6,1,Gujarat Lions,"KD Karthik, SK Raina",15,16,SK Raina
6,1,Gujarat Lions,"DR Smith, KD Karthik",56,46,DR Smith
6,1,Gujarat Lions,"DS Kulkarni, KD Karthik",1,4,KD Karthik
6,1,Gujarat Lions,"DS Kulkarni, P Kumar",1,2,DS Kulkarni
6,1,Gujarat Lions,"Basil Thampi, P Kumar",19,14,innings end
6,2,Sunrisers Hyderabad,"DA Warner, S Dhawan",32,19,S Dhawan
6,2,Sunrisers Hyderabad,"DA Warner, MC Henriques",105,77,innings end
7,1,Kolkata Knight Riders,"CA Lynn, G Gambhir",40,30,G Gambhir
7,1,Kolkata Knight Riders,"CA Lynn, RV Uthappa",4,3,RV Uthappa
7,1,Kolkata Knight Riders,"CA Lynn, MK Pandey",16,18,CA Lynn
7,1,Kolkata Knight Riders,"MK Pandey, YK Pathan",20,25,YK Pathan
7,1,Kolkata Knight Riders,"MK Pandey, SA Yadav",44,27,SA Yadav
7,1,Kolkata Knight Riders,"CR Woakes, MK Pandey",13,12,CR Woakes
7,1,Kolkata Knight Riders,"MK Pandey, SP Narine",32,13,SP Narine
7,2,Mumbai Indians,"JC Buttler, PA Patel",57,51,PA Patel
7,2,Mumbai Indians,"JC Buttler, N Rana",6,6,JC Buttler
7,2,Mumbai Indians,"N Rana, RG Sharma",3,8,RG Sharma
7,2,Mumbai Indians,"KH Pandya, N Rana",23,14,KH Pandya
7,2,Mumbai Indians,"KA Pollard, N Rana",22,24,KA Pollard
7,2,Mumbai Indians,"HH Pandya, N Rana",39,15,N Rana
7,2,Mumbai Indians,"HH Pandya, Harbhajan Singh",18,8,innings end
8,1,Royal Challengers Bangalore,"SR Watson, Vishnu Vinod",2,6,SR Watson
8,1,Royal Challengers Bangalore,"AB de Villiers, Vishnu Vinod",16,15,Vishnu Vinod
8,1,Royal Challengers Bangalore,"AB de Villiers, KM Jadhav",4,9,KM Jadhav
8,1,Royal Challengers Bangalore,"AB de Villiers, Mandeep Singh",45,50,Mandeep Singh
8,1,Royal Challengers Bangalore,"AB de Villiers, STR Binny",77,43,innings end
8,2,Kings XI Punjab,"HM Amla, M Vohra",60,37,M Vohra
8,2,Kings XI Punjab,"AR Patel, HM Amla",15,14,AR Patel
8,2,Kings XI Punjab,"GJ Maxwell, HM Amla",69,38,innings end
9,1,Delhi Daredevils,"AP Tare, SW Billings",0,8,AP Tare
9,1,Delhi Daredevils,"SV Samson, SW Billings",64,45,SW Billings
9,1,Delhi Daredevils,"RR Pant, SV Samson",53,43,RR Pant
9,1,Delhi Daredevils,"CJ Anderson, SV Samson",41,19,SV Samson
9,1,Delhi Daredevils,"CH Morris, CJ Anderson",39,10,innings end
9,2,Rising Pune Supergiant,"AM Rahane, MA Agarwal",22,20,AM Rahane
9,2,Rising Pune Supergiant,"F du Plessis, MA Agarwal",10,11,MA Agarwal
9,2,Rising Pune Supergiant,"F du Plessis, RA Tripathi",14,7,RA Tripathi
9,2,Rising Pune Supergiant,"BA Stokes, F du Plessis",3,5,F du Plessis
9,2,Rising Pune Supergiant,"BA Stokes, MS Dhoni",2,7,BA Stokes
9,2,Rising Pune Supergiant,"MS Dhoni, R Bhatia",25,25,MS Dhoni
9,2,Rising Pune Supergiant,"DL Chahar, R Bhatia",14,7,R Bhatia
9,2,Rising Pune Supergiant,"A Zampa, DL Chahar",6,6,DL Chahar
9,2,Rising Pune Supergiant,"A Zampa, AB Dinda",6,9,A Zampa
9,2,Rising Pune Supergiant,"AB Dinda, Imran Tahir",1,4,AB Dinda
10,1,Sunrisers Hyderabad,"DA Warner, S Dhawan",77,63,DA Warner
10,1,Sunrisers Hyderabad,"DJ Hooda, S Dhawan",22,19,DJ Hooda
10,1,Sunrisers Hyderabad,"S Dhawan, Yuvraj Singh",8,10,S Dhawan
10,1,Sunrisers Hyderabad,"BCJ Cutting, Yuvraj Singh",8,5,Yuvraj Singh
10,1,Sunrisers Hyderabad,"BCJ Cutting, NV Ojha",21,15,BCJ Cutting
10,1,Sunrisers Hyderabad,"NV Ojha, V Shankar",1,3,V Shankar
10,1,Sunrisers Hyderabad,"NV Ojha, Rashid Khan",5,6,NV Ojha
10,1,Sunrisers Hyderabad,"B Kumar, Rashid Khan",2,3,Rashid Khan
10,1,Sunrisers Hyderabad,"A Nehra, B Kumar",3,2,innings end
10,2,Mumbai Indians,"JC Buttler, PA Patel",27,19,JC Buttler
10,2,Mumbai Indians,"PA Patel, RG Sharma",13,10,RG Sharma
10,2,Mumbai Indians,"N Rana, PA Patel",38,29,PA Patel
10,2,Mumbai Indians,"KA Pollard, N Rana",29,25,KA Pollard
10,2,Mumbai Indians,"KH Pandya, N Rana",38,21,KH Pandya
10,2,Mumbai Indians,"HH Pandya, N Rana",6,5,N Rana
10,2,Mumbai Indians,"HH Pandya, Harbhajan Singh",4,4,innings end
11,1,Kings XI Punjab,"HM Amla, M Vohra",43,36,M Vohra
11,1,Kings XI Punjab,"HM Amla, MP Stoinis",12,16,MP Stoinis
11,1,Kings XI Punjab,"GJ Maxwell, HM Amla",31,24,HM Amla
11,1,Kings XI Punjab,"DA Miller, GJ Maxwell",1,3,GJ Maxwell
11,1,Kings XI Punjab,"DA Miller, WP Saha",53,35,DA Miller
11,1,Kings XI Punjab,"AR Patel, WP Saha",0,1,WP Saha
11,1,Kings XI Punjab,"AR Patel, MM Sharma",1,2,AR Patel
11,1,Kings XI Punjab,"MM Sharma, VR Aaron",13,11,MM Sharma
11,1,Kings XI Punjab,"Sandeep Sharma, VR Aaron",0,2,VR Aaron
11,2,Kolkata Knight Riders,"G Gambhir, SP Narine",68,37,SP Narine
11,2,Kolkata Knight Riders,"G Gambhir, RV Uthappa",39,26,RV Uthappa
11,2,Kolkata Knight Riders,"G Gambhir, MK Pandey",53,41,innings end
12,1,Royal Challengers Bangalore,"CH Gayle, V Kohli",59,58,CH Gayle
12,1,Royal Challengers Bangalore,"AB de Villiers, V Kohli",43,37,V Kohli
12,1,Royal Challengers Bangalore,"AB de Villiers, KM Jadhav",4,6,AB de Villiers
12,1,Royal Challengers Bangalore,"KM Jadhav, P Negi",10,11,KM Jadhav
12,1,Royal Challengers Bangalore,"Mandeep Singh, P Negi",0,1,Mandeep Singh
12,1,Royal Challengers Bangalore,"P Negi, STR Binny",15,11,innings end
12,2,Mumbai Indians,"JC Buttler, PA Patel",5,12,JC Buttler
12,2,Mumbai Indians,"PA Patel, RG Sharma",0,3,PA Patel
12,2,Mumbai Indians,"MJ McClenaghan, RG Sharma",0,1,MJ McClenaghan
