match_id,innings,team,batter,runs,balls,fours,sixes,dots,strike_rate,dismissed,dismissal_type
1,1,Australia,DA Warner,7,19,1,0,14,36.84,1,bowled
1,1,Australia,TM Head,39,39,6,0,19,100.0,1,caught
1,1,Australia,SPD Smith,0,1,0,0,1,0.0,1,caught
1,1,Australia,CA Lynn,16,14,1,1,6,114.29,1,caught
1,1,Australia,MR Marsh,4,17,0,0,13,23.53,1,caught
1,1,Australia,GJ Maxwell,60,58,7,0,22,103.45,1,caught
1,1,Australia,MS Wade,100,102,7,2,38,98.04,0,not out
1,1,Australia,JP Faulkner,5,13,0,0,8,38.46,1,caught
1,1,Australia,PJ Cummins,15,33,0,0,19,45.45,1,run out
1,1,Australia,MA Starc,10,8,0,1,3,125.0,1,bowled
1,1,Australia,B Stanlake,1,6,0,0,5,16.67,0,not out
1,2,Pakistan,Azhar Ali,24,50,0,0,29,48.0,1,caught
1,2,Pakistan,Sharjeel Khan,18,23,1,1,13,78.26,1,caught
1,2,Pakistan,Mohammad Hafeez,4,8,0,0,5,50.0,1,caught
1,2,Pakistan,Babar Azam,33,46,3,0,28,71.74,1,caught
1,2,Pakistan,Umar Akmal,17,25,3,0,17,68.0,1,caught
1,2,Pakistan,Mohammad Rizwan,21,44,0,0,26,47.73,1,caught
1,2,Pakistan,Imad Wasim,29,36,1,1,18,80.56,1,caught
1,2,Pakistan,Mohammad Nawaz (3),1,10,0,0,8,10.0,1,bowled
1,2,Pakistan,Mohammad Amir,8,10,0,0,4,80.0,1,caught
1,2,Pakistan,Wahab Riaz,6,8,0,0,3,75.0,1,caught
1,2,Pakistan,Hasan Ali,1,1,0,0,0,100.0,0,not out
2,1,Australia,UT Khawaja,17,21,1,0,11,80.95,1,caught
2,1,Australia,DA Warner,16,25,1,0,13,64.0,1,caught
2,1,Australia,SPD Smith,60,103,2,0,55,58.25,1,bowled
2,1,Australia,MR Marsh,0,1,0,0,1,0.0,1,caught
2,1,Australia,TM Head,29,31,5,0,18,93.55,1,caught
2,1,Australia,GJ Maxwell,23,26,2,1,13,88.46,1,bowled
2,1,Australia,MS Wade,35,57,3,0,32,61.4,1,bowled
2,1,Australia,JP Faulkner,19,22,2,0,8,86.36,1,caught
2,1,Australia,MA Starc,3,5,0,0,2,60.0,1,run out
2,1,Australia,PJ Cummins,0,3,0,0,3,0.0,1,caught
2,1,Australia,JR Hazlewood,0,3,0,0,2,0.0,0,not out
2,2,Pakistan,Mohammad Hafeez,72,106,8,0,70,67.92,1,caught
2,2,Pakistan,Sharjeel Khan,29,33,4,0,18,87.88,1,caught
2,2,Pakistan,Babar Azam,34,49,5,0,34,69.39,1,caught
2,2,Pakistan,Asad Shafiq,13,29,0,0,19,44.83,1,caught
2,2,Pakistan,Shoaib Malik,42,55,5,1,33,76.36,0,not out
2,2,Pakistan,Umar Akmal,18,21,3,0,13,85.71,0,not out
3,1,Pakistan,Mohammad Hafeez,4,15,0,0,9,26.67,1,lbw
3,1,Pakistan,Sharjeel Khan,50,49,8,1,27,102.04,1,bowled
3,1,Pakistan,Babar Azam,84,103,4,1,44,81.55,1,caught
3,1,Pakistan,Asad Shafiq,5,10,0,0,5,50.0,1,caught
3,1,Pakistan,Shoaib Malik,39,41,3,2,22,95.12,1,caught
3,1,Pakistan,Umar Akmal,39,52,1,1,23,75.0,1,caught
3,1,Pakistan,Imad Wasim,9,13,1,0,7,69.23,1,caught
3,1,Pakistan,Mohammad Rizwan,14,19,1,0,10,73.68,0,not out
3,1,Pakistan,Mohammad Amir,4,6,0,0,2,66.67,0,not out
3,2,Australia,DA Warner,35,38,5,0,23,92.11,1,caught
3,2,Australia,UT Khawaja,9,21,2,0,17,42.86,1,caught
3,2,Australia,PSP Handscomb,82,85,7,0,32,96.47,1,caught
3,2,Australia,SPD Smith,108,107,11,1,45,100.93,0,not out
3,2,Australia,TM Head,23,25,4,0,15,92.0,0,not out
4,1,Australia,UT Khawaja,30,49,2,0,24,61.22,1,caught
4,1,Australia,DA Warner,130,119,11,2,46,109.24,1,caught
4,1,Australia,SPD Smith,49,48,5,0,17,102.08,1,lbw
4,1,Australia,TM Head,51,36,2,4,13,141.67,1,caught
4,1,Australia,GJ Maxwell,78,44,10,1,7,177.27,1,caught
4,1,Australia,MS Wade,5,6,0,0,2,83.33,1,caught
4,2,Pakistan,Azhar Ali,7,10,1,0,8,70.0,1,caught
4,2,Pakistan,Sharjeel Khan,74,49,10,3,20,151.02,1,caught
4,2,Pakistan,Babar Azam,31,39,4,0,22,79.49,1,caught
4,2,Pakistan,Mohammad Hafeez,40,40,3,1,16,100.0,1,caught
4,2,Pakistan,Shoaib Malik,47,61,1,1,25,77.05,1,caught
