match_id,innings,team,bowler,overs,balls,runs,wickets,dots,fours,sixes,wides,noballs,economy,strike_rate,average
1,1,Pakistan,Mohammad Amir,10.0,60,54,3,31,2,2,3,0,5.4,20.0,18.0
1,1,Pakistan,Mohammad Hafeez,7.0,42,23,0,24,1,0,1,0,3.29,0.0,0.0
1,1,Pakistan,Hasan Ali,9.0,54,65,3,24,8,1,2,0,7.22,18.0,21.67
1,1,Pakistan,Wahab Riaz,6.0,36,42,0,17,6,0,3,1,7.0,0.0,0.0
1,1,Pakistan,Imad Wasim,10.0,60,36,2,33,2,0,0,0,3.6,30.0,18.0
1,1,Pakistan,Mohammad Nawaz (3),8.0,48,48,1,19,3,1,0,0,6.0,48.0,48.0
1,2,Australia,MA Starc,8.0,48,38,2,31,3,0,2,0,4.75,24.0,19.0
1,2,Australia,B Stanlake,3.0,18,14,0,12,0,1,1,0,4.67,0.0,0.0
1,2,Australia,JP Faulkner,7.0,42,34,4,22,3,0,0,0,4.86,10.5,8.5
1,2,Australia,PJ Cummins,8.7,52,33,3,36,1,1,2,0,3.81,17.33,11.0
1,2,Australia,TM Head,10.0,60,30,0,34,0,0,0,0,3.0,0.0,0.0
1,2,Australia,MR Marsh,6.0,36,27,1,16,1,0,0,0,4.5,36.0,27.0
2,1,Pakistan,Mohammad Amir,9.3,56,48,3,31,5,0,1,0,5.14,18.67,16.0
2,1,Pakistan,Junaid Khan,8.0,48,41,3,30,5,0,3,0,5.12,16.0,13.67
2,1,Pakistan,Imad Wasim,10.0,60,38,2,32,0,0,2,0,3.8,30.0,19.0
2,1,Pakistan,Hasan Ali,7.0,42,30,1,28,4,0,0,0,4.29,42.0,30.0
2,1,Pakistan,Mohammad Hafeez,10.0,60,48,0,27,2,1,1,0,4.8,0.0,0.0
2,1,Pakistan,Shoaib Malik,4.0,24,15,1,10,0,0,0,0,3.75,24.0,15.0
2,2,Australia,MA Starc,10.0,60,48,2,39,5,0,2,0,4.8,30.0,24.0
2,2,Australia,JR Hazlewood,10.0,60,32,0,45,3,1,1,0,3.2,0.0,0.0
2,2,Australia,PJ Cummins,10.0,60,48,0,40,6,0,1,0,4.8,0.0,0.0
2,2,Australia,JP Faulkner,9.0,54,37,2,33,3,0,0,0,4.11,27.0,18.5
2,2,Australia,TM Head,2.7,16,23,0,7,4,0,1,0,8.62,0.0,0.0
2,2,Australia,MR Marsh,6.0,36,33,0,23,4,0,2,0,5.5,0.0,0.0
3,1,Australia,JR Hazlewood,10.0,60,36,3,36,1,0,3,0,3.6,20.0,12.0
3,1,Australia,B Stanlake,10.0,60,55,1,35,6,1,2,0,5.5,60.0,55.0
3,1,Australia,PJ Cummins,10.0,60,43,1,34,3,0,2,0,4.3,60.0,43.0
3,1,Australia,TM Head,10.0,60,65,2,26,6,2,0,0,6.5,30.0,32.5
3,1,Australia,JP Faulkner,10.0,60,64,0,18,2,2,1,0,6.4,0.0,0.0
3,2,Pakistan,Mohammad Hafeez,6.0,36,30,0,21,3,1,1,0,5.0,0.0,0.0
3,2,Pakistan,Mohammad Amir,10.0,60,36,1,40,4,0,1,0,3.6,60.0,36.0
3,2,Pakistan,Junaid Khan,9.0,54,58,1,30,9,0,0,1,6.44,54.0,58.0
3,2,Pakistan,Hasan Ali,10.0,60,64,1,25,7,0,0,0,6.4,60.0,64.0
3,2,Pakistan,Imad Wasim,8.0,48,59,0,14,4,0,3,0,7.38,0.0,0.0
3,2,Pakistan,Shoaib Malik,2.0,12,18,0,2,2,0,0,0,9.0,0.0,0.0
4,1,Pakistan,Mohammad Hafeez,9.0,54,54,0,18,3,1,0,0,6.0,0.0,0.0
4,1,Pakistan,Mohammad Amir,10.0,60,78,1,23,8,2,0,0,7.8,60.0,78.0
4,1,Pakistan,Junaid Khan,10.0,60,82,0,20,8,2,0,1,8.2,0.0,0.0
4,1,Pakistan,Hasan Ali,10.0,60,57,5,29,5,0,0,1,5.7,12.0,11.4
4,1,Pakistan,Imad Wasim,9.0,54,69,0,16,5,2,0,0,7.67,0.0,0.0
4,1,Pakistan,Shoaib Malik,2.0,12,13,0,3,1,0,0,0,6.5,0.0,0.0
4,2,Australia,MA Starc,7.0,42,43,1,23,6,0,3,0,6.14,42.0,43.0
4,2,Australia,JR Hazlewood,8.8,53,55,3,27,6,1,0,0,6.23,17.67,18.33
4,2,Australia,PJ Cummins,8.0,48,45,1,23,5,0,0,0,5.62,48.0,45.0
4,2,Australia,TM Head,10.0,60,68,2,21,3,3,0,0,6.8,30.0,34.0
4,2,Australia,A Zampa,10.0,60,56,3,24,4,1,1,0,5.6,20.0,18.67
5,1,Pakistan,Mohammad Amir,10.0,60,71,2,24,5,2,1,0,7.1,30.0,35.5
5,1,Pakistan,Junaid Khan,10.0,60,61,2,27,8,0,2,0,6.1,30.0,30.5
5,1,Pakistan,Hasan Ali,9.0,54,100,2,11,9,3,1,0,11.11,27.0,50.0
5,1,Pakistan,Mohammad Hafeez,7.0,42,43,0,21,2,3,0,0,6.14,0.0,0.0
5,1,Pakistan,Wahab Riaz,10.0,60,67,1,23,5,1,2,0,6.7,60.0,67.0
5,1,Pakistan,Shoaib Malik,4.0,24,27,0,11,4,0,0,0,6.75,0.0,0.0
5,2,Australia,MA Starc,9.2,55,43,4,33,4,0,3,0,4.69,13.75,10.75
5,2,Australia,JR Hazlewood,10.0,60,74,1,27,6,2,5,0,7.4,60.0,74.0
5,2,Australia,PJ Cummins,10.0,60,61,3,26,6,0,2,0,6.1,20.0,20.33
