match_id,match_type,season,venue,city,date,gender,overs,balls_per_over,player_of_match,toss_winner,toss_decision,match_winner,result_type,result_margin,umpire_1,umpire_2,team_1,team_2
1,ODI,2016/17,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2017-01-13,male,50,6,MS Wade,Australia,bat,Australia,92,92,unknown,unknown,Australia,Pakistan
2,ODI,2016/17,Melbourne Cricket Ground,unknown,2017-01-15,male,50,6,Mohammad Hafeez,Australia,bat,Pakistan,6,6,unknown,unknown,Australia,Pakistan
3,ODI,2016/17,Western Australia Cricket Association Ground,Perth,2017-01-19,male,50,6,SPD Smith,Australia,field,Australia,7,7,unknown,unknown,Australia,Pakistan
4,ODI,2016/17,Sydney Cricket Ground,unknown,2017-01-22,male,50,6,DA Warner,Australia,bat,Australia,86,86,unknown,unknown,Australia,Pakistan
5,ODI,2016/17,Adelaide Oval,unknown,2017-01-26,male,50,6,DA Warner,Australia,bat,Australia,57,57,unknown,unknown,Australia,Pakistan
1,ODI,2016/17,Sydney Cricket Ground,unknown,2016-12-04,male,50,6,SPD Smith,Australia,bat,Australia,68,68,unknown,unknown,Australia,New Zealand
2,ODI,2016/17,Manuka Oval,Canberra,2016-12-06,male,50,6,DA Warner,New Zealand,field,Australia,116,116,unknown,unknown,Australia,New Zealand
3,ODI,2016/17,Melbourne Cricket Ground,unknown,2016-12-09,male,50,6,DA Warner,Australia,bat,Australia,117,117,unknown,unknown,Australia,New Zealand
1,ODI,2016,"Grange Cricket Club Ground, Raeburn Place",Edinburgh,2016-09-08,male,50,6,,Hong Kong,field,unknown,unknown,0,unknown,unknown,Scotland,Hong Kong
2,ODI,2016,"Grange Cricket Club Ground, Raeburn Place",Edinburgh,2016-09-10,male,50,6,,Scotland,bat,Scotland,53,53,unknown,unknown,Scotland,Hong Kong
1,ODI,2016,Harare Sports Club,unknown,2016-06-11,male,50,6,KL Rahul,India,field,India,9,9,unknown,unknown,Zimbabwe,India
2,ODI,2016,Harare Sports Club,unknown,2016-06-13,male,50,6,YS Chahal,India,field,India,8,8,unknown,unknown,Zimbabwe,India
3,ODI,2016,Harare Sports Club,unknown,2016-06-15,male,50,6,KL Rahul,Zimbabwe,bat,India,10,10,unknown,unknown,Zimbabwe,India
1,ODI,2016/17,Hagley Oval,Christchurch,2016-12-26,male,50,6,TWM Latham,New Zealand,bat,New Zealand,77,77,unknown,unknown,New Zealand,Bangladesh
2,ODI,2016/17,Saxton Oval,Nelson,2016-12-29,male,50,6,NT Broom,Bangladesh,field,New Zealand,67,67,unknown,unknown,New Zealand,Bangladesh
3,ODI,2016/17,Saxton Oval,Nelson,2016-12-31,male,50,6,KS Williamson,Bangladesh,bat,New Zealand,8,8,unknown,unknown,New Zealand,Bangladesh
