match_id,innings,batting_team,batters,runs,balls,wicket
1,1,Australia,"DA Warner, TM Head",12,28,DA Warner
1,1,Australia,"SPD Smith, TM Head",0,1,SPD Smith
1,1,Australia,"CA Lynn, TM Head",37,30,CA Lynn
1,1,Australia,"MR Marsh, TM Head",15,22,TM Head
1,1,Australia,"GJ Maxwell, MR Marsh",11,20,MR Marsh
1,1,Australia,"GJ Maxwell, MS Wade",79,91,GJ Maxwell
1,1,Australia,"JP Faulkner, MS Wade",9,19,JP Faulkner
1,1,Australia,"MS Wade, PJ Cummins",40,54,PJ Cummins
1,1,Australia,"MA Starc, MS Wade",22,18,MA Starc
1,1,Australia,"B Stanlake, MS Wade",32,27,innings end
1,2,Pakistan,"Azhar Ali, Sharjeel Khan",30,52,Sharjeel Khan
1,2,Pakistan,"Azhar Ali, Babar Azam, Mohammad Hafeez",8,13,Mohammad Hafeez
1,2,Pakistan,"Babar Azam, Umar Akmal",30,40,Umar Akmal
1,2,Pakistan,"Babar Azam, Mohammad Rizwan",29,54,Babar Azam
1,2,Pakistan,"Imad Wasim, Mohammad Rizwan",19,26,Mohammad Rizwan
1,2,Pakistan,"Imad Wasim, Mohammad Nawaz (3)",3,17,Mohammad Nawaz (3)
1,2,Pakistan,"Azhar Ali, Imad Wasim",25,34,Imad Wasim
1,2,Pakistan,"Azhar Ali, Mohammad Amir",5,9,Azhar Ali
1,2,Pakistan,"Mohammad Amir, Wahab Riaz",8,10,Mohammad Amir
1,2,Pakistan,"Hasan Ali, Wahab Riaz",5,6,Wahab Riaz
2,1,Australia,"DA Warner, UT Khawaja",27,38,DA Warner
2,1,Australia,"SPD Smith, UT Khawaja",9,13,UT Khawaja
2,1,Australia,"MR Marsh, SPD Smith",1,5,MR Marsh
2,1,Australia,"SPD Smith, TM Head",44,51,TM Head
2,1,Australia,"GJ Maxwell, SPD Smith",38,55,GJ Maxwell
2,1,Australia,"MS Wade, SPD Smith",59,99,SPD Smith
2,1,Australia,"JP Faulkner, MS Wade",5,7,MS Wade
2,1,Australia,"JP Faulkner, MA Starc",8,12,MA Starc
2,1,Australia,"JP Faulkner, PJ Cummins",5,7,PJ Cummins
2,1,Australia,"JP Faulkner, JR Hazlewood",6,10,JP Faulkner
2,2,Pakistan,"Mohammad Hafeez, Sharjeel Khan",64,90,Sharjeel Khan
2,2,Pakistan,"Babar Azam, Mohammad Hafeez",70,96,Babar Azam
2,2,Pakistan,"Asad Shafiq, Mohammad Hafeez",2,8,Mohammad Hafeez
2,2,Pakistan,"Asad Shafiq, Shoaib Malik",47,69,Asad Shafiq
2,2,Pakistan,"Shoaib Malik, Umar Akmal",25,30,innings end
3,1,Pakistan,"Mohammad Hafeez, Sharjeel Khan",30,27,Mohammad Hafeez
3,1,Pakistan,"Babar Azam, Sharjeel Khan",45,74,Sharjeel Khan
3,1,Pakistan,"Asad Shafiq, Babar Azam",14,24,Asad Shafiq
3,1,Pakistan,"Babar Azam, Shoaib Malik",59,65,Shoaib Malik
3,1,Pakistan,"Babar Azam, Umar Akmal",59,71,Babar Azam
3,1,Pakistan,"Imad Wasim, Umar Akmal",22,20,Umar Akmal
3,1,Pakistan,"Imad Wasim, Mohammad Rizwan",2,4,Imad Wasim
3,1,Pakistan,"Mohammad Amir, Mohammad Rizwan",17,23,innings end
3,2,Australia,"DA Warner, UT Khawaja",44,54,DA Warner
3,2,Australia,"SPD Smith, UT Khawaja",0,5,UT Khawaja
3,2,Australia,"PSP Handscomb, SPD Smith",177,182,PSP Handscomb
3,2,Australia,"SPD Smith, TM Head",36,35,innings end
4,1,Australia,"DA Warner, UT Khawaja",90,105,UT Khawaja
4,1,Australia,"DA Warner, SPD Smith",119,110,DA Warner
4,1,Australia,"SPD Smith, TM Head",1,2,SPD Smith
4,1,Australia,"GJ Maxwell, TM Head",93,64,TM Head
4,1,Australia,"GJ Maxwell, MS Wade",26,16,MS Wade
4,1,Australia,"GJ Maxwell, MA Starc",14,5,GJ Maxwell
4,2,Pakistan,"Azhar Ali, Sharjeel Khan",15,12,Azhar Ali
4,2,Pakistan,"Babar Azam, Sharjeel Khan",72,73,Babar Azam
4,2,Pakistan,"Mohammad Hafeez, Sharjeel Khan",30,18,Sharjeel Khan
4,2,Pakistan,"Mohammad Hafeez, Shoaib Malik",64,79,Mohammad Hafeez
4,2,Pakistan,"Shoaib Malik, Umar Akmal",28,35,Shoaib Malik
4,2,Pakistan,"Mohammad Rizwan, Umar Akmal",1,7,Umar Akmal
4,2,Pakistan,"Imad Wasim, Mohammad Rizwan",26,23,Mohammad Rizwan
4,2,Pakistan,"Imad Wasim, Mohammad Amir",7,8,Mohammad Amir
4,2,Pakistan,"Hasan Ali, Imad Wasim",15,11,Imad Wasim
4,2,Pakistan,"Hasan Ali, Junaid Khan",0,1,Junaid Khan
5,1,Australia,"DA Warner, TM Head",279,250,DA Warner
5,1,Australia,"SPD Smith, TM Head",4,2,SPD Smith
5,1,Australia,"GJ Maxwell, TM Head",32,21,GJ Maxwell
5,1,Australia,"MS Wade, TM Head",11,10,MS Wade
5,1,Australia,"PSP Handscomb, TM Head",6,2,TM Head
5,1,Australia,"JP Faulkner, PSP Handscomb",8,9,PSP Handscomb
5,1,Australia,"JP Faulkner, MA Starc",16,10,MA Starc
5,1,Australia,"JP Faulkner, PJ Cummins",2,2,innings end
5,2,Pakistan,"Azhar Ali, Sharjeel Khan",8,18,Azhar Ali
5,2,Pakistan,"Babar Azam, Sharjeel Khan",126,135,Sharjeel Khan
5,2,Pakistan,"Babar Azam, Mohammad Hafeez",5,11,Mohammad Hafeez
5,2,Pakistan,"Babar Azam, Shoaib Malik",34,28,Shoaib Malik
5,2,Pakistan,"Babar Azam, Umar Akmal",37,37,Babar Azam
5,2,Pakistan,"Mohammad Rizwan, Umar Akmal",24,22,Mohammad Rizwan
