match_id,innings,team,bowler,overs,balls,runs,wickets,dots,fours,sixes,wides,noballs,economy,strike_rate,average
1,1,Sri Lanka,SL Malinga,4.0,24,29,2,6,1,0,1,0,7.25,12.0,14.5
1,1,Sri Lanka,KMDN Kulasekara,4.0,24,38,1,5,4,0,1,1,9.5,24.0,38.0
1,1,Sri Lanka,JRMVB Sanjaya,3.0,18,35,1,4,3,1,1,0,11.67,18.0,35.0
1,1,Sri Lanka,S Prasanna,4.0,24,24,0,9,1,1,1,0,6.0,0.0,0.0
1,1,Sri Lanka,PADLR Sandakan,4.0,24,31,1,7,0,1,0,0,7.75,24.0,31.0
1,1,Sri Lanka,DAS Gunaratne,1.0,6,11,1,1,0,1,0,0,11.0,6.0,11.0
1,2,Australia,PJ Cummins,4.0,24,30,1,10,4,0,0,0,7.5,24.0,30.0
1,2,Australia,B Stanlake,3.0,18,42,0,6,5,1,4,0,14.0,0.0,0.0
1,2,Australia,JP Faulkner,4.0,24,29,0,7,3,0,1,0,7.25,0.0,0.0
1,2,Australia,AJ Tye,3.0,18,33,0,5,6,0,0,0,11.0,0.0,0.0
1,2,Australia,A Zampa,4.0,24,26,2,6,1,0,0,0,6.5,12.0,13.0
1,2,Australia,AJ Turner,2.0,12,12,2,4,1,0,0,0,6.0,6.0,6.0
2,1,Sri Lanka,SL Malinga,4.0,24,32,2,5,3,0,0,0,8.0,12.0,16.0
2,1,Sri Lanka,KMDN Kulasekara,4.0,24,35,4,8,3,0,2,0,8.75,6.0,8.75
2,1,Sri Lanka,JRMVB Sanjaya,4.0,24,32,2,8,2,1,1,0,8.0,12.0,16.0
2,1,Sri Lanka,EMDY Munaweera,1.0,6,22,0,2,1,3,0,0,22.0,0.0,0.0
2,1,Sri Lanka,DAS Gunaratne,3.0,18,26,1,3,0,2,0,0,8.67,18.0,26.0
2,1,Sri Lanka,S Prasanna,4.0,24,26,1,8,1,0,0,0,6.5,24.0,26.0
2,2,Australia,AJ Turner,2.0,12,16,1,5,3,0,0,0,8.0,12.0,16.0
2,2,Australia,PJ Cummins,3.0,18,28,1,6,5,0,1,0,9.33,18.0,28.0
2,2,Australia,JP Faulkner,4.0,24,32,2,6,4,0,0,0,8.0,12.0,16.0
2,2,Australia,JA Richardson,3.0,18,25,1,6,2,1,0,0,8.33,18.0,25.0
2,2,Australia,AJ Tye,4.0,24,37,3,10,3,2,1,0,9.25,8.0,12.33
2,2,Australia,MC Henriques,4.0,24,38,0,9,1,3,2,0,9.5,0.0,0.0
3,1,Sri Lanka,SL Malinga,4.0,24,35,3,10,2,2,1,1,8.75,8.0,11.67
3,1,Sri Lanka,KMDN Kulasekara,4.0,24,40,0,5,4,1,1,0,10.0,0.0,0.0
3,1,Sri Lanka,JRMVB Sanjaya,3.0,18,35,0,6,4,2,1,0,11.67,0.0,0.0
3,1,Sri Lanka,S Prasanna,3.0,18,25,1,5,2,1,0,0,8.33,18.0,25.0
3,1,Sri Lanka,TAM Siriwardana,1.0,6,12,0,1,0,1,0,0,12.0,0.0,0.0
3,1,Sri Lanka,DAS Gunaratne,1.0,6,12,0,1,0,1,1,0,12.0,0.0,0.0
3,1,Sri Lanka,MD Shanaka,4.0,24,28,2,8,2,0,0,0,7.0,12.0,14.0
3,2,Australia,AJ Turner,2.0,12,15,0,6,2,0,1,0,7.5,0.0,0.0
3,2,Australia,JA Richardson,3.0,18,38,1,4,2,3,2,0,12.67,18.0,38.0
3,2,Australia,PJ Cummins,3.0,18,21,2,8,2,0,2,0,7.0,9.0,10.5
3,2,Australia,JP Faulkner,3.0,18,21,3,7,1,1,1,0,7.0,6.0,7.0
3,2,Australia,MC Henriques,1.0,6,10,0,2,2,0,0,0,10.0,0.0,0.0
3,2,Australia,A Zampa,4.0,24,25,3,11,2,1,0,0,6.25,8.0,8.33
3,2,Australia,TM Head,2.0,12,16,1,2,1,0,1,0,8.0,12.0,16.0
1,1,Ireland,J Little,4.0,24,25,0,10,2,0,2,0,6.25,0.0,0.0
1,1,Ireland,CA Young,4.0,24,56,2,6,3,4,1,2,14.0,12.0,28.0
1,1,Ireland,KJ O'Brien,4.0,24,40,1,7,5,0,2,0,10.0,24.0,40.0
1,1,Ireland,AR McBrine,4.0,24,22,1,10,2,0,0,0,5.5,24.0,22.0
1,1,Ireland,J Mulder,4.0,24,26,1,9,1,1,1,0,6.5,24.0,26.0
1,2,Hong Kong,Tanwir Afzal,4.0,24,19,2,13,0,1,0,0,4.75,12.0,9.5
1,2,Hong Kong,Nadeem Ahmed,4.0,24,25,2,12,2,1,1,0,6.25,12.0,12.5
1,2,Hong Kong,Aizaz Khan,3.0,18,12,3,10,1,0,0,0,4.0,6.0,4.0
1,2,Hong Kong,Ehsan Nawaz,1.0,6,13,0,2,2,0,0,1,13.0,0.0,0.0
1,2,Hong Kong,Ehsan Khan,4.0,24,30,1,7,2,0,1,0,7.5,24.0,30.0
1,2,Hong Kong,Tanveer Ahmed,3.5,21,30,2,8,5,0,1,0,8.57,10.5,15.0
1,1,India,JD Unadkat,4.0,24,44,1,9,2,4,2,0,11.0,24.0,44.0
