match_id,match_type,season,venue,city,date,gender,overs,balls_per_over,player_of_match,toss_winner,toss_decision,match_winner,result_type,result_margin,umpire_1,umpire_2,team_1,team_2
1,T20,2016/17,Melbourne Cricket Ground,unknown,2017-02-17,male,20,6,DAS Gunaratne,Sri Lanka,field,Sri Lanka,5,5,unknown,unknown,Australia,Sri Lanka
2,T20,2016/17,"Simonds Stadium, South Geelong",Victoria,2017-02-19,male,20,6,DAS Gunaratne,Sri Lanka,field,Sri Lanka,2,2,unknown,unknown,Australia,Sri Lanka
3,T20,2016/17,Adelaide Oval,unknown,2017-02-22,male,20,6,A Zampa,Sri Lanka,field,Australia,41,41,unknown,unknown,Australia,Sri Lanka
1,T20,2016,"Bready Cricket Club, Magheramason",Londonderry,2016-09-05,male,20,6,,Hong Kong,bat,Hong Kong,40,40,unknown,unknown,Ireland,Hong Kong
1,T20,2016,Harare Sports Club,unknown,2016-06-18,male,20,6,E Chigumbura,India,field,Zimbabwe,2,2,unknown,unknown,Zimbabwe,India
2,T20,2016,Harare Sports Club,unknown,2016-06-20,male,20,6,BB Sran,Zimbabwe,bat,India,10,10,unknown,unknown,Zimbabwe,India
3,T20,2016,Harare Sports Club,unknown,2016-06-22,male,20,6,KM Jadhav,Zimbabwe,field,India,3,3,unknown,unknown,Zimbabwe,India
1,T20,2016/17,McLean Park,Napier,2017-01-03,male,20,6,KS Williamson,Bangladesh,bat,New Zealand,6,6,unknown,unknown,New Zealand,Bangladesh
2,T20,2016/17,Bay Oval,Mount Maunganui,2017-01-06,male,20,6,C Munro,Bangladesh,field,New Zealand,47,47,unknown,unknown,New Zealand,Bangladesh
3,T20,2016/17,Bay Oval,Mount Maunganui,2017-01-08,male,20,6,CJ Anderson,Bangladesh,field,New Zealand,27,27,unknown,unknown,New Zealand,Bangladesh
unknown,T20,2016/17,Eden Park,Auckland,2017-02-17,male,20,6,Imran Tahir,New Zealand,field,South Africa,78,78,unknown,unknown,New Zealand,South Africa
1,T20,2017,The Rose Bowl,Southampton,2017-06-21,male,20,6,JM Bairstow,South Africa,bat,England,9,9,unknown,unknown,England,South Africa
2,T20,2017,County Ground,Taunton,2017-06-23,male,20,6,CH Morris,England,field,South Africa,3,3,unknown,unknown,England,South Africa
3,T20,2017,Sophia Gardens,Cardiff,2017-06-25,male,20,6,DJ Malan,South Africa,field,England,19,19,unknown,unknown,England,South Africa
unknown,T20,2017,Riverside Ground,Chester-le-Street,2017-09-16,male,20,6,SP Narine,England,field,West Indies,21,21,unknown,unknown,West Indies,England
1,T20,2016/17,Green Park,Kanpur,2017-01-26,male,20,6,MM Ali,England,field,England,7,7,unknown,unknown,India,England
2,T20,2016/17,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,2017-01-29,male,20,6,JJ Bumrah,England,field,India,5,5,unknown,unknown,India,England
3,T20,2016/17,M Chinnaswamy Stadium,Bangalore,2017-02-01,male,20,6,YS Chahal,England,field,India,75,75,unknown,unknown,India,England
1,T20,2016,Central Broward Regional Park Stadium Turf Ground,Lauderhill,2016-08-27,male,20,6,E Lewis,India,field,West Indies,1,1,unknown,unknown,India,West Indies
2,T20,2016,Central Broward Regional Park Stadium Turf Ground,Lauderhill,2016-08-28,male,20,6,,India,field,unknown,unknown,0,unknown,unknown,India,West Indies
1,T20,2016/17,Dubai International Cricket Stadium,unknown,2016-09-23,male,20,6,Imad Wasim,Pakistan,field,Pakistan,9,9,unknown,unknown,Pakistan,West Indies
2,T20,2016/17,Dubai International Cricket Stadium,unknown,2016-09-24,male,20,6,Sarfraz Ahmed,West Indies,field,Pakistan,16,16,unknown,unknown,Pakistan,West Indies
3,T20,2016/17,Sheikh Zayed Stadium,Abu Dhabi,2016-09-27,male,20,6,Imad Wasim,Pakistan,field,Pakistan,8,8,unknown,unknown,Pakistan,West Indies
1,T20,2017/18,Sydney Cricket Ground,unknown,2018-02-03,male,20,6,B Stanlake,Australia,field,Australia,7,7,unknown,unknown,New Zealand,Australia
2,T20,2017/18,Bellerive Oval,Hobart,2018-02-07,male,20,6,GJ Maxwell,Australia,field,Australia,5,5,unknown,unknown,England,Australia
3,T20,2017/18,Melbourne Cricket Ground,unknown,2018-02-10,male,20,6,KW Richardson,Australia,field,Australia,7,7,unknown,unknown,England,Australia
4,T20,2017/18,Westpac Stadium,Wellington,2018-02-13,male,20,6,KS Williamson,England,field,New Zealand,12,12,unknown,unknown,New Zealand,England
5,T20,2017/18,Eden Park,Auckland,2018-02-16,male,20,6,DJM Short,New Zealand,bat,Australia,5,5,unknown,unknown,New Zealand,Australia
6,T20,2017/18,Seddon Park,Hamilton,2018-02-18,male,20,6,EJG Morgan,New Zealand,field,England,2,2,unknown,unknown,England,New Zealand
unknown,T20,2017/18,Eden Park,Auckland,2018-02-21,male,20,6,AC Agar,New Zealand,bat,Australia,19,19,unknown,unknown,New Zealand,Australia
1,T20,2016/17,Sheikh Zayed Stadium,Abu Dhabi,2017-01-14,male,20,6,CS MacLeod,Scotland,bat,Scotland,24,24,unknown,unknown,Hong Kong,Scotland
3,T20,2016/17,Sheikh Zayed Stadium,Abu Dhabi,2017-01-15,male,20,6,MJG Rippon,Oman,bat,Netherlands,5,5,unknown,unknown,Netherlands,Oman
5,T20,2016/17,Sheikh Zayed Stadium,Abu Dhabi,2017-01-16,male,20,6,Bilal Khan,Oman,field,Oman,7,7,unknown,unknown,Hong Kong,Oman
8,T20,2016/17,Sheikh Zayed Stadium,Abu Dhabi,2017-01-17,male,20,6,JH Davey,Netherlands,field,Scotland,7,7,unknown,unknown,Netherlands,Scotland
9,T20,2016/17,Dubai International Cricket Stadium,unknown,2017-01-18,male,20,6,WB Rankin,Ireland,bat,Ireland,24,24,unknown,unknown,United Arab Emirates,Ireland
10,T20,2016/17,Dubai International Cricket Stadium,unknown,2017-01-18,male,20,6,Anshuman Rath,Hong Kong,bat,Hong Kong,91,91,unknown,unknown,Hong Kong,Netherlands
12,T20,2016/17,Dubai International Cricket Stadium,unknown,2017-01-19,male,20,6,MH Cross,Oman,bat,Scotland,7,7,unknown,unknown,Oman,Scotland
unknown,T20,2016/17,Dubai International Cricket Stadium,unknown,2017-01-20,male,20,6,GC Wilson,Scotland,field,Ireland,98,98,unknown,unknown,Ireland,Scotland
1,T20,2017/18,Mangaung Oval,Bloemfontein,2017-10-26,male,20,6,AB de Villiers,South Africa,bat,South Africa,20,20,unknown,unknown,South Africa,Bangladesh
2,T20,2017/18,Senwes Park,Potchefstroom,2017-10-29,male,20,6,DA Miller,Bangladesh,field,South Africa,83,83,unknown,unknown,South Africa,Bangladesh
1,T20,2017,"Kensington Oval, Bridgetown",Barbados,2017-03-26,male,20,6,Shadab Khan,Pakistan,field,Pakistan,6,6,unknown,unknown,West Indies,Pakistan
2,T20,2017,"Queen's Park Oval, Port of Spain",Trinidad,2017-03-30,male,20,6,Shadab Khan,West Indies,field,Pakistan,3,3,unknown,unknown,West Indies,Pakistan
1,T20,2016/17,R Premadasa Stadium,Colombo,2017-04-04,male,20,6,MDKJ Perera,Bangladesh,bat,Sri Lanka,6,6,unknown,unknown,Sri Lanka,Bangladesh
2,T20,2016/17,R Premadasa Stadium,Colombo,2017-04-06,male,20,6,Shakib Al Hasan,Bangladesh,bat,Bangladesh,45,45,unknown,unknown,Sri Lanka,Bangladesh
3,T20,2017,"Queen's Park Oval, Port of Spain",Trinidad,2017-04-01,male,20,6,E Lewis,Pakistan,bat,West Indies,7,7,unknown,unknown,West Indies,Pakistan
4,T20,2017,"Queen's Park Oval, Port of Spain",Trinidad,2017-04-02,male,20,6,Hasan Ali,Pakistan,field,Pakistan,7,7,unknown,unknown,West Indies,Pakistan
1,T20,2017,Sheikh Zayed Stadium,Abu Dhabi,2017-04-12,male,20,6,,United Arab Emirates,field,United Arab Emirates,5,5,unknown,unknown,United Arab Emirates,Papua New Guinea
2,T20,2017,Sheikh Zayed Stadium,Abu Dhabi,2017-04-14,male,20,6,,Papua New Guinea,field,United Arab Emirates,30,30,unknown,unknown,United Arab Emirates,Papua New Guinea
3,T20,2017,Sheikh Zayed Stadium,Abu Dhabi,2017-04-14,male,20,6,,Papua New Guinea,bat,United Arab Emirates,5,5,unknown,unknown,United Arab Emirates,Papua New Guinea
unknown,T20,2017,"Sabina Park, Kingston",Jamaica,2017-07-09,male,20,6,E Lewis,West Indies,field,West Indies,9,9,unknown,unknown,West Indies,India
unknown,T20,2017,"R.Premadasa Stadium, Khettarama",Colombo,2017-09-06,male,20,6,V Kohli,India,field,India,7,7,unknown,unknown,Sri Lanka,India
1,T20,2017/18,Saxton Oval,Nelson,2017-12-29,male,20,6,GD Phillips,West Indies,field,New Zealand,47,47,unknown,unknown,New Zealand,West Indies
2,T20,2017/18,Bay Oval,Mount Maunganui,2018-01-01,male,20,6,,West Indies,field,unknown,unknown,0,unknown,unknown,New Zealand,West Indies
3,T20,2017/18,Bay Oval,Mount Maunganui,2018-01-03,male,20,6,C Munro,New Zealand,bat,New Zealand,119,119,unknown,unknown,New Zealand,West Indies
1,T20,2017/18,Westpac Stadium,Wellington,2018-01-22,male,20,6,C Munro,New Zealand,field,New Zealand,7,7,unknown,unknown,Pakistan,New Zealand
2,T20,2017/18,Eden Park,Auckland,2018-01-25,male,20,6,Fakhar Zaman,Pakistan,bat,Pakistan,48,48,unknown,unknown,Pakistan,New Zealand
3,T20,2017/18,Bay Oval,Mount Maunganui,2018-01-28,male,20,6,Shadab Khan,Pakistan,bat,Pakistan,18,18,unknown,unknown,Pakistan,New Zealand
1,T20,2017/18,Gaddafi Stadium,Lahore,2017-09-12,male,20,6,Babar Azam,ICC World XI,field,Pakistan,20,20,unknown,unknown,Pakistan,ICC World XI
2,T20,2017/18,Gaddafi Stadium,Lahore,2017-09-13,male,20,6,NLTC Perera,Pakistan,bat,ICC World XI,7,7,unknown,unknown,Pakistan,ICC World XI
