match_id,innings,batting_team,batters,runs,balls,wicket
1,1,Australia,"AJ Finch, M Klinger",73,64,M Klinger
1,1,Australia,"AJ Finch, TM Head",10,6,AJ Finch
1,1,Australia,"MC Henriques, TM Head",29,23,MC Henriques
1,1,Australia,"AJ Turner, TM Head",35,23,TM Head
1,1,Australia,"AJ Turner, JP Faulkner",0,1,AJ Turner
1,1,Australia,"JP Faulkner, TD Paine",8,6,TD Paine
1,1,Australia,"JP Faulkner, PJ Cummins",6,2,innings end
1,2,Sri Lanka,"N Dickwella, WU Tharanga",4,6,WU Tharanga
1,2,Sri Lanka,"EMDY Munaweera, N Dickwella",67,50,N Dickwella
1,2,Sri Lanka,"DAS Gunaratne, EMDY Munaweera",11,12,EMDY Munaweera
1,2,Sri Lanka,"DAS Gunaratne, TAM Siriwardana",59,39,DAS Gunaratne
1,2,Sri Lanka,"CK Kapugedera, TAM Siriwardana",1,2,TAM Siriwardana
1,2,Sri Lanka,"CK Kapugedera, S Prasanna",17,16,innings end
2,1,Australia,"AJ Finch, M Klinger",16,17,AJ Finch
2,1,Australia,"BR Dunk, M Klinger",44,25,BR Dunk
2,1,Australia,"M Klinger, MC Henriques",50,40,M Klinger
2,1,Australia,"MC Henriques, TM Head",7,7,TM Head
2,1,Australia,"AJ Turner, MC Henriques",13,10,AJ Turner
2,1,Australia,"JP Faulkner, MC Henriques",10,6,JP Faulkner
2,1,Australia,"MC Henriques, TD Paine",18,9,TD Paine
2,1,Australia,"MC Henriques, PJ Cummins",7,6,PJ Cummins
2,1,Australia,"AJ Tye, MC Henriques",0,2,AJ Tye
2,1,Australia,"JA Richardson, MC Henriques",0,1,JA Richardson
2,2,Sri Lanka,"N Dickwella, WU Tharanga",5,5,WU Tharanga
2,2,Sri Lanka,"EMDY Munaweera, N Dickwella",17,9,N Dickwella
2,2,Sri Lanka,"BKG Mendis, EMDY Munaweera",5,7,BKG Mendis
2,2,Sri Lanka,"DAS Gunaratne, EMDY Munaweera",12,6,EMDY Munaweera
2,2,Sri Lanka,"DAS Gunaratne, TAM Siriwardana",0,1,TAM Siriwardana
2,2,Sri Lanka,"CK Kapugedera, DAS Gunaratne",51,48,CK Kapugedera
2,2,Sri Lanka,"DAS Gunaratne, S Prasanna",22,20,S Prasanna
2,2,Sri Lanka,"DAS Gunaratne, KMDN Kulasekara",41,23,KMDN Kulasekara
2,2,Sri Lanka,"DAS Gunaratne, SL Malinga",16,5,innings end
3,1,Australia,"AJ Finch, M Klinger",76,54,AJ Finch
3,1,Australia,"BR Dunk, M Klinger",46,34,BR Dunk
3,1,Australia,"M Klinger, TM Head",50,27,TM Head
3,1,Australia,"M Klinger, MC Henriques",1,1,M Klinger
3,1,Australia,"AJ Turner, MC Henriques",2,3,AJ Turner
3,1,Australia,"JP Faulkner, MC Henriques",2,2,JP Faulkner
3,1,Australia,"MC Henriques, TD Paine",2,4,innings end
3,2,Sri Lanka,"EMDY Munaweera, WU Tharanga",37,25,WU Tharanga
3,2,Sri Lanka,"BKG Mendis, EMDY Munaweera",27,23,BKG Mendis
3,2,Sri Lanka,"DAS Gunaratne, EMDY Munaweera",1,4,EMDY Munaweera
3,2,Sri Lanka,"DAS Gunaratne, TAM Siriwardana",7,8,DAS Gunaratne
3,2,Sri Lanka,"CK Kapugedera, TAM Siriwardana",14,14,CK Kapugedera
3,2,Sri Lanka,"MD Shanaka, TAM Siriwardana",0,2,MD Shanaka
3,2,Sri Lanka,"S Prasanna, TAM Siriwardana",27,19,S Prasanna
3,2,Sri Lanka,"KMDN Kulasekara, TAM Siriwardana",16,11,TAM Siriwardana
3,2,Sri Lanka,"KMDN Kulasekara, SL Malinga",2,5,SL Malinga
3,2,Sri Lanka,"JRMVB Sanjaya, KMDN Kulasekara",6,4,JRMVB Sanjaya
1,1,Hong Kong,"Aizaz Khan, Nizakat Khan",39,30,Aizaz Khan
1,1,Hong Kong,"Babar Hayat, Nizakat Khan",54,44,Nizakat Khan
1,1,Hong Kong,"Anshuman Rath, Babar Hayat",10,9,Anshuman Rath
1,1,Hong Kong,"Babar Hayat, Ehsan Khan",23,18,Babar Hayat
1,1,Hong Kong,"Ehsan Khan, Tanwir Afzal",19,15,Tanwir Afzal
1,1,Hong Kong,"Ehsan Khan, Shahid Wasif",14,12,innings end
1,2,Ireland,"DA Rankin, WTS Porterfield",5,9,WTS Porterfield
1,2,Ireland,"DA Rankin, SP Terry",5,8,SP Terry
1,2,Ireland,"DA Rankin, JNK Shannon",13,14,DA Rankin
1,2,Ireland,"JNK Shannon, KJ O'Brien",0,2,JNK Shannon
1,2,Ireland,"GJ Thompson, KJ O'Brien",55,45,KJ O'Brien
1,2,Ireland,"AR McBrine, GJ Thompson",26,18,AR McBrine
1,2,Ireland,"GJ Thompson, L Tucker",7,8,GJ Thompson
1,2,Ireland,"J Mulder, L Tucker",3,7,L Tucker
1,2,Ireland,"J Little, J Mulder",0,4,J Mulder
1,2,Ireland,"CA Young, J Little",2,6,J Little
1,1,Zimbabwe,"CJ Chibhabha, H Masakadza",32,27,H Masakadza
1,1,Zimbabwe,"CJ Chibhabha, R Mutumbami",1,5,R Mutumbami
1,1,Zimbabwe,"CJ Chibhabha, Sikandar Raza",16,10,CJ Chibhabha
1,1,Zimbabwe,"MN Waller, Sikandar Raza",46,35,MN Waller
1,1,Zimbabwe,"CT Mutombodzi, Sikandar Raza",1,3,Sikandar Raza
1,1,Zimbabwe,"CT Mutombodzi, E Chigumbura",9,13,CT Mutombodzi
1,1,Zimbabwe,"AG Cremer, E Chigumbura",19,12,AG Cremer
1,1,Zimbabwe,"E Chigumbura, N Madziva",37,19,innings end
1,2,India,"KL Rahul, Mandeep Singh",0,1,KL Rahul
1,2,India,"AT Rayudu, Mandeep Singh",42,35,AT Rayudu
1,2,India,"MK Pandey, Mandeep Singh",9,11,Mandeep Singh
1,2,India,"KM Jadhav, MK Pandey",35,30,KM Jadhav
1,2,India,"MK Pandey, MS Dhoni",45,35,MK Pandey
1,2,India,"AR Patel, MS Dhoni",21,12,AR Patel
1,2,India,"MS Dhoni, R Dhawan",3,5,innings end
2,1,Zimbabwe,"CJ Chibhabha, H Masakadza",10,19,CJ Chibhabha
2,1,Zimbabwe,"H Masakadza, PJ Moor",11,9,H Masakadza
2,1,Zimbabwe,"PJ Moor, Sikandar Raza",2,3,Sikandar Raza
2,1,Zimbabwe,"CT Mutombodzi, PJ Moor",0,1,CT Mutombodzi
2,1,Zimbabwe,"MN Waller, PJ Moor",29,37,MN Waller
2,1,Zimbabwe,"E Chigumbura, PJ Moor",16,23,PJ Moor
2,1,Zimbabwe,"AG Cremer, E Chigumbura",6,9,E Chigumbura
2,1,Zimbabwe,"AG Cremer, N Madziva",2,3,N Madziva
2,1,Zimbabwe,"AG Cremer, DT Tiripano",7,16,AG Cremer
2,1,Zimbabwe,"DT Tiripano, T Muzarabani",7,5,innings end
2,2,India,"KL Rahul, Mandeep Singh",99,82,innings end
3,1,India,"KL Rahul, Mandeep Singh",20,19,Mandeep Singh
3,1,India,"AT Rayudu, KL Rahul",7,8,KL Rahul
3,1,India,"AT Rayudu, MK Pandey",0,1,MK Pandey
3,1,India,"AT Rayudu, KM Jadhav",48,50,AT Rayudu
3,1,India,"KM Jadhav, MS Dhoni",15,22,MS Dhoni
